"Item Type","Product ID","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image ID - 1","Product Image File - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Sort - 1","Product Image ID - 2","Product Image File - 2","Product Image Description - 2","Product Image Is Thumbnail - 2","Product Image Sort - 2","Product Image ID - 3","Product Image File - 3","Product Image Description - 3","Product Image Is Thumbnail - 3","Product Image Sort - 3","Product Image ID - 4","Product Image File - 4","Product Image Description - 4","Product Image Is Thumbnail - 4","Product Image Sort - 4","Product Image ID - 5","Product Image File - 5","Product Image Description - 5","Product Image Is Thumbnail - 5","Product Image Sort - 5","Product Image ID - 6","Product Image File - 6","Product Image Description - 6","Product Image Is Thumbnail - 6","Product Image Sort - 6","Product Image ID - 7","Product Image File - 7","Product Image Description - 7","Product Image Is Thumbnail - 7","Product Image Sort - 7","Product Image ID - 8","Product Image File - 8","Product Image Description - 8","Product Image Is Thumbnail - 8","Product Image Sort - 8","Product Image ID - 9","Product Image File - 9","Product Image Description - 9","Product Image Is Thumbnail - 9","Product Image Sort - 9","Product Image ID - 10","Product Image File - 10","Product Image Description - 10","Product Image Is Thumbnail - 10","Product Image Sort - 10","Product Image ID - 11","Product Image File - 11","Product Image Description - 11","Product Image Is Thumbnail - 11","Product Image Sort - 11","Product Image ID - 12","Product Image File - 12","Product Image Description - 12","Product Image Is Thumbnail - 12","Product Image Sort - 12","Product Image ID - 13","Product Image File - 13","Product Image Description - 13","Product Image Is Thumbnail - 13","Product Image Sort - 13","Product Image ID - 14","Product Image File - 14","Product Image Description - 14","Product Image Is Thumbnail - 14","Product Image Sort - 14","Search Keywords","Page Title","Meta Keywords","Meta Description","MYOB Asset Acct","MYOB Income Acct","MYOB Expense Acct","Product Condition","Show Product Condition?","Event Date Required?","Event Date Name","Event Date Is Limited?","Event Date Start Date","Event Date End Date","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","Global Trade Item Number","Manufacturer Part Number","Tax Provider Tax Code","Product Custom Fields"
Product,4055,"Vango Sunlight Air ProShield 2-in-1 Awning & Sun Canopy",P,AWVSUNLIG000001,,Vango,,Right,"<h1 style=""text-align: justify;"">Vango Sunlight Air ProShield 2-in-1 Awning &amp; Sun Canopy</h1> <h2 style=""text-align: justify;"">An Adaptable Awning</h2> <p style=""text-align: justify;"">The&nbsp;<em>Vango Sunlight Air ProShield Awning</em>&nbsp;is a versatile 2-in-1 awning. The full enclosed awning can easily convert into a sun canopy by removing the the front door and side walls. When the walls and doors are in place, the clear windows have roll-away curtains for added privacy. With a Kador height of 235cm - 250cm, this awning is suitable for medium height campervans, motorhomes and caravans. Its single AirBeam structure ensures quick and easy pitching with the included pump, while its durable&nbsp;<span>300D&nbsp;</span><span>Elements ProShield</span> fabric provides excellent weather protection, with a hydrostatic head of 6,000mm. With multiple attachment options and a compact design, the&nbsp;<em>Vango Sunlight Air ProShield</em>&nbsp;is ideal for campers seeking a flexible outdoor space.</p> <h3 style=""text-align: justify;"">Vango Sunlight Air ProShield Features</h3> <ul style=""text-align: justify;""> <li>Inflates quickly as only one beam needs to inflate. The main beam has attached bracer beams for stability.</li> <li>Elements ProShield material is robust, durable and waterproof.&nbsp;300D fabric with an HH rating of 6,000MM.</li> <li>Flexible SkyTrack II hanging system which allows you to easily attach lighting or storage.</li> <li>Adjustable pegging system allows awning to be pitched perfectly on uneven surfaces.</li> <li>Removable zipped doors and walls allow it to change to a sun canopy.</li> <li>ColourLok technology to aid colour retention from sun exposure.</li> <li>Includes carry bag, steel rock pegs and pump.</li> <li>Zipped privacy curtains on all windows fit to the flysheet with no gaps and simply rolls down into a pocket when not required</li> </ul> <h3 style=""text-align: justify;"">Awning &amp; Sun Canopy Specification</h3> <ul style=""text-align: justify;""> <li><strong>Weight</strong>:&nbsp;17.9kg</li> <li><strong>Pitching Time</strong>: 8mins</li> <li><strong>Kador Length</strong>: 300cm</li> <li><strong>Kador Height</strong>:&nbsp;235cm-250cm</li> <li><strong>Fabric</strong>: Sentinel E</li> <li><strong>Connection Width</strong>: 285cm</li> <li><strong>Pack Size</strong>:&nbsp;<strong>L</strong>69.0 x <strong>H</strong>30.0 x <strong>W</strong>38.0cm</li> <li><strong>Rail Weight</strong>: 6.9kg</li> </ul>",555.00,0.00,0.00,0.00,0.0000,N,"The Vango Sunlight Air ProShield has a limited warranty that can be extended when registered with Vango.",0.1000,0.0000,0.0000,0.0000,Y,Y,"The Vango Sunlight Air ProShield is available on next-day delivery",none,12,0,"Awnings ;Awnings /Caravan;Awnings /Caravan/Vango Inflatable Awnings;Awnings /Campervan;Awnings /Campervan/Inflatable Awnings;Awnings /Campervan/Sun Canopies;Awnings /Caravan/Inflatable Awnings;Awnings /Caravan/Sun Canopies",22285,h/107/AWVSUNLIG000001_6__58765.jpg,"Vango Sunlight Air ProShield 2-in-1 Awning & Sun Canopy (AWVSUNLIG000001)",Y,0,22280,y/223/AWVSUNLIG000001_7__89274.jpg,"The Vango Sunlight Air ProShield can convert from an awning to a sun canopy",N,1,22278,z/812/AWVSUNLIG000001_8__72024.jpg,"Vango Sunlight Air ProShield clear windows",N,2,22283,t/598/AWVSUNLIG000001_3__17672.jpg,"Vango Sunlight Air ProShield sun shelter canopy",N,3,22282,v/497/AWVSUNLIG000001_4__82930.jpg,"Vango Sunlight Air ProShield with one door removed",N,4,22284,m/966/AWVSUNLIG000001_5__79976.jpg,"Vango Sunlight Air ProShield with both doors",N,5,22286,n/143/AWVSUNLIG000001_2__87523.jpg,"Vango Sunlight Air ProShield can fit medium height vehicles such as campervans and motorhomes",N,6,22287,t/683/AWVSUNLIG000001_1__84836.jpg,,N,7,22288,p/544/AWVSUNLIG000001__92498.jpg,,N,8,22279,a/575/AWVSUNLIG000001_9__20402.jpg,"Vango Sunlight Air ProShield dimensions",N,9,22281,u/026/AWVSUNLIG000001_10__66122.jpg,"Vango Sunlight Air ProShield features",N,10,,,,,,,,,,,,,,,,"AWVSUNLIG000001, vango, awning, proshield, sun canopy, inflatable, tent, campervan, motorhome, caravan, CS, CNS","Vango Sunlight Air ProShield 2-in-1 Awning & Sun Canopy","AWVSUNLIG000001, vango, awning, sun canopy, inflatable, tent, campervan awning, motorhome awning, caravan awning, low awning","The Vango Sunlight Air ProShield is a versatile 2-in-1 awning and sun canopy. Fast and easy to pitch, this awning fits low height campervans and caravans.",,,,New,N,N,,N,,,0,"Default Tax Class",AWVSUNLIG000001,N,/awning/sun-canopy/vango-sunlight-air-proshield/,,,AWVSUNLIG000001,,
Product,4056,"Leisurewize Universal Water Mains Adaptor",P,LWACC168,,Leisurewize,,Right,"<h1>Leisurewize Universal Water Mains Adaptor for Caravan and Motorhome</h1> <p>The Leisurewize Universal Water Mains Adaptor is a versatile kit for connecting your caravan or motorhome to a water supply. It includes a range of fittings and a food-grade hose for reliable and safe fresh water supply.</p> <h2>Leisurewize Universal Water Mains Adaptor Features:</h2> <ul> <li>7.5 metre high quality food grade hose.</li> <li>Non return ball valve.</li> <li>2 x metric and imperial tap connectors.</li> <li>Hose extension connector.</li> <li>3 x Universal cap fitting.</li> <li>Compatible with Leisurewize water hog Fresh water tank</li> </ul>",27.95,0.00,0.00,0.00,0.0000,N,"The Leisurewize Universal Water Mains Adaptor comes with a 1 Year Manufacturer Warranty",0.1000,0.0000,0.0000,0.0000,Y,Y,"# Available for next working day delivery",none,1,0,"Caravan, Campervan & Motorhome;Caravan, Campervan & Motorhome/Water Tanks & Plumbing;Caravan, Campervan & Motorhome/Water Tanks & Plumbing/Plumbing",22289,n/347/LWACC168-Hero-RGB72-Edit_1000x1000__45510.jpg,"Leisurewize Universal Water Mains Adaptor (LWACC168)",Y,0,22290,m/538/LWACC168-RGB300-Edit_1000x1000__29732.jpg,"Leisurewize Universal Water Mains Adaptor for Caravan and Motorhomes",N,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"water mains adaptor, universal mains adaptor, caravan water connector, motorhome water connector, water connector for caravan, water connector for motorhome, caravan water inlet, motorhome water inlet, Leisurewize water connector, Leisurewize water inlet, Leisurewize caravan water connector, Leisurewize motorhome water connector, universal water connector,  LWACC168","Leisurewize Universal Water Mains Adaptor","water mains adapter, caravan water adapter, motorhome water adapter, campervan water adapter, water mains adaptor, water adaptor, Leisurewise Adaptor, Leisurewize Adaptor, Leisurewize Adapter, Leisurewise Adapter, campervan water connector, caravan water connector, motorhome water connector, water connector, water inlet, Leisurewize, universal water connector, universal water mains connector,  LWACC168","Leisurewize Universal Water Mains Adaptor is a versatile kit for connecting your caravan or motorhome to a water supply. It includes a range of fittings and a food-grade hose for reliable and safe water supply. Available for next working day delivery!",,,,New,N,N,,N,,,0,"Default Tax Class",5026637650680,N,/leisurewize-universal-water-mains-adaptor/,,," LWACC168",,
Product,4057,"Maypole Motorhome Cover",P,MP94,,Maypole,"Maypole Motorhome Cover",Right,"<h1>Maypole Motorhome Cover</h1> <h2>Premium 4-Ply Waterproof and Breathable Motorhome Cover</h2> <p data-pm-slice=""1 1 []"">Protect your motorhome year-round with the Maypole Motorhome Cover, crafted from heavy-duty 4-ply non-woven polypropylene fabric. This cover is UV stable, highly water resistant, and breathable, offering superior protection against rain, snow, dust, tree sap, and more. The material resists moisture penetration while allowing natural evaporation to prevent mold and mildew build-up.</p> <h3>Key Features:</h3> <ul> <li>Highly water resistant material (up to 1000mm hydrostatic pressure head)</li> <li>Breathable fabric prevents condensation and mold</li> <li>Reflectors on the front and rear for enhanced visibility</li> <li>Elasticated hem for a snug, tailored fit</li> <li>Secure nylon straps and plastic buckles at the side, front, and rear</li> <li>Zips on all 4 corners for easy fitting</li> <li>Side zips for convenient door access</li> <li>Non-abrasive material to prevent scratches</li> <li>Double-stitched seams for added durability</li> <li>Handy storage bag included</li> </ul> <h4>The Maypole Motorhome Cover is available in 6 sizes to suit a variety of motorhomes:</h4> <ul> <li>MP9421: Up to 5.7m</li> <li>MP9422: 5.7m - 6m</li> <li>MP9423: 6.0m - 6.5m</li> <li>MP9424: 6.5m - 7m</li> <li>MP9425: 7m - 7.5m</li> <li>MP9426: 7.5m - 8m</li> </ul> <p>Tip: If your motorhome has a cab hump, we recommend selecting a cover that is the next size up for the best fit.</p>",99.95,0.00,0.00,0.00,0.0000,N,,0.1000,0.0000,0.0000,0.0000,Y,Y,"# Special Delivery - 5 to 10 Working days",none,0,0,"Caravan, Campervan & Motorhome;Caravan, Campervan & Motorhome/Protective Covers",22291,a/226/Motorhome-Cover__67328.jpg,"Maypole Motorhome Cover MP9421 MP9422 MP9423 MP9424 MP9425 MP9426",Y,0,22292,t/741/Motorhome-cover-_2__19244.jpg,"The Maypole Motorhome Cover is available in 6 sizes to suit a variety of motorhomes:",N,1,22295,l/123/Motorhome-cover_3__98851.jpg,"The Maypole Motorhome Cover has zips on all 4 corners for easy fitting
",N,2,22294,b/507/Motorhome-cover_4__89192.jpg,"The Maypole Motorhome Cover has a storage bag included",N,3,22293,z/516/Strap-2__20124.jpg,"The Maypole Motorhome Coveris made from a highly water resistant material",N,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MP9421 MP9422 MP9423 MP9424 MP9425 MP9426, Maypole, motorhome, cover, water resistant, UV stable, fabric, ejo","Maypole Motorhome Cover","Caravan, Campervan, Motorhome, MP9421 MP9422 MP9423 MP9424 MP9425 MP9426, Maypole, motorhome, cover, water resistant, UV stable, breathable, fabric, reflectors, rain, protections, ","Maypole Motorhome Cover is a premium, 4-ply, waterproof cover designed to protect your motorhome all year round. ",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/caravan-motorhome/maypole-motorhome-cover/,,,MP94,,
"  SKU",9112,"[S]Select Size=MP9421: Up to 5.7m",,MP9421,,,,,,139.95,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",9113,"[S]Select Size=MP9422: 5.7m - 6m",,MP9422,,,,,,149.95,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",9114,"[S]Select Size=MP9423: 6.0m - 6.5m",,MP9423,,,,,,159.95,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",9115,"[S]Select Size=MP9424: 6.5m - 7m",,MP9424,,,,,,174.95,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",9116,"[S]Select Size=MP9425: 7m - 7.5m",,MP9425,,,,,,179.95,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",9117,"[S]Select Size=MP9426: 7.5m - 8m",,MP9426,,,,,,199.95,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Rule",14933,,,MP9421,,,,,,[FIXED]139.95,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
