"Item Type","Product ID","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image ID - 1","Product Image File - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Sort - 1","Product Image ID - 2","Product Image File - 2","Product Image Description - 2","Product Image Is Thumbnail - 2","Product Image Sort - 2","Product Image ID - 3","Product Image File - 3","Product Image Description - 3","Product Image Is Thumbnail - 3","Product Image Sort - 3","Product Image ID - 4","Product Image File - 4","Product Image Description - 4","Product Image Is Thumbnail - 4","Product Image Sort - 4","Product Image ID - 5","Product Image File - 5","Product Image Description - 5","Product Image Is Thumbnail - 5","Product Image Sort - 5","Product Image ID - 6","Product Image File - 6","Product Image Description - 6","Product Image Is Thumbnail - 6","Product Image Sort - 6","Product Image ID - 7","Product Image File - 7","Product Image Description - 7","Product Image Is Thumbnail - 7","Product Image Sort - 7","Product Image ID - 8","Product Image File - 8","Product Image Description - 8","Product Image Is Thumbnail - 8","Product Image Sort - 8","Product Image ID - 9","Product Image File - 9","Product Image Description - 9","Product Image Is Thumbnail - 9","Product Image Sort - 9","Product Image ID - 10","Product Image File - 10","Product Image Description - 10","Product Image Is Thumbnail - 10","Product Image Sort - 10","Product Image ID - 11","Product Image File - 11","Product Image Description - 11","Product Image Is Thumbnail - 11","Product Image Sort - 11","Product Image ID - 12","Product Image File - 12","Product Image Description - 12","Product Image Is Thumbnail - 12","Product Image Sort - 12","Product Image ID - 13","Product Image File - 13","Product Image Description - 13","Product Image Is Thumbnail - 13","Product Image Sort - 13","Product Image ID - 14","Product Image File - 14","Product Image Description - 14","Product Image Is Thumbnail - 14","Product Image Sort - 14","Product Image ID - 15","Product Image File - 15","Product Image Description - 15","Product Image Is Thumbnail - 15","Product Image Sort - 15","Product Image ID - 16","Product Image File - 16","Product Image Description - 16","Product Image Is Thumbnail - 16","Product Image Sort - 16","Product Image ID - 17","Product Image File - 17","Product Image Description - 17","Product Image Is Thumbnail - 17","Product Image Sort - 17","Product Image ID - 18","Product Image File - 18","Product Image Description - 18","Product Image Is Thumbnail - 18","Product Image Sort - 18","Product Image ID - 19","Product Image File - 19","Product Image Description - 19","Product Image Is Thumbnail - 19","Product Image Sort - 19","Product Image ID - 20","Product Image File - 20","Product Image Description - 20","Product Image Is Thumbnail - 20","Product Image Sort - 20","Search Keywords","Page Title","Meta Keywords","Meta Description","MYOB Asset Acct","MYOB Income Acct","MYOB Expense Acct","Product Condition","Show Product Condition?","Event Date Required?","Event Date Name","Event Date Is Limited?","Event Date Start Date","Event Date End Date","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","Global Trade Item Number","Manufacturer Part Number","Tax Provider Tax Code","Product Custom Fields"
Product,1528,"Zodiac Baracuda MX8 Swimming Pool Automatic Suction Cleaner",P,BAMX8,,Zodiac,,Right,"<h1>Zodiac Baracuda MX8 Swimming Pool Automatic Suction Cleaner</h1> <p style=""text-align: justify;"">An efficient and powerful automatic swimming pool cleaner, the <em>Zodiac Baracuda MX8&nbsp;</em>cleaner combines a dual cyclonic suction for a speedy, energy efficient and powerful vacuum alongside a thorough capacity for cleaning any size or shape of swimming pool.</p> <p style=""text-align: justify;"">With a wider cleaning path than competitor models and a large vacuum inlet to capture larger debris, the <em>Zodiac Baracuda MX8</em> cleaner provides outstanding pool coverage, with maximum torque and easy manoeuvrability enabling for an aggressive automatic clean of swimming pool walls and floors.</p> <p style=""text-align: justify;"">The<em> Zodiac Baracuda MX8 Automatic Swimming Pool Suction Cleaner</em> is the best choice for solar, 2-speed and variable speed pool cleaners.</p> <h3>Zodiac Baracuda MX8 Automatic Swimming Pool Suction Cleaner features:</h3> <ul type=""disc""> <li>MaX-Drive advanced dual navigation for best pool coverage with no hang ups.</li> <li>Thoroughly cleans floor, walls, and waterline of any size or shape pool</li> <li>With twist locking hose enabling for a quick, secure attachment to the cleaner head</li> <li>Cleaner includes 39 feet of hose</li> <li>Dual Cyclonic Vacuum provides maximum suction power and extreme wall climbing ability</li> <li>Cyclonic suction provides unsurpassed vacuum power, wider cleaning path, and largest debris intake</li> <li>Flex-Power Turbine enables ultra-efficient operation on low flow without compromising power</li> <li>For use on all pool surfaces</li> <li><strong><span style=""color: #ff0000;"">Minimum Pump Requirement: 3/4 Horse Power</span></strong></li> </ul> <p><strong><span style=""color: #ff0000;"">&nbsp;</span></strong></p> <h3>Downloads</h3> <h3>&nbsp;</h3> <p><a href=""https://www.jacksonsleisure.com/content/pdf/swimming_pool_cleaners/mx8_manual.pdf"" target=""_blank""><img class=""__mce_add_custom__"" title=""pdf-small.jpg"" src=""https://cdn2.bigcommerce.com/server1100/fkhd5nhp/product_images/uploaded_images/pdf-small.jpg"" alt=""pdf-small.jpg"" width=""44"" height=""44"" /></a><a href=""https://www.jacksonsleisure.com/content/pdf/swimming_pool_cleaners/mx8_manual.pdf"" target=""_blank"">Automatic MX8 Cleaner Manual</a></p> <p><img class=""__mce_add_custom__"" style=""display: block; margin-left: auto; margin-right: auto;"" title=""baracuda-mx8-suction-pool-cleaner-multiple-views.gif"" src=""https://cdn2.bigcommerce.com/server1100/fkhd5nhp/product_images/uploaded_images/baracuda-mx8-suction-pool-cleaner-multiple-views.gif"" alt=""baracuda-mx8-suction-pool-cleaner-multiple-views.gif"" width=""632"" height=""473"" /></p>",439.95,0.00,0.00,0.00,0.0000,N,,0.1000,0.0000,0.0000,0.0000,Y,Y,"Sent with a Next Working Day courier service!",none,3,0,"Swimming Pool;Swimming Pool/Swimming Pool Maintenance /Suction Cleaners",5034,u/390/baracuda_mx8_suction_pool_cleaner_2_7144_p__73971.jpg,"Baracuda Swimming Pool Cleaner",Y,0,5037,y/092/MX8_Combi_2013__79385.jpg,"Zodiac Baracuda MX8 Pool Cleaner",N,1,5031,f/056/BaracudaMX8facts__41782.gif,"Baracuda MX8 Suction Cleaner",N,2,5030,i/215/baracuda_mx8_automatic_pool_cleaner_mx8_13.gif__34296.jpg,"MX8 Automatic Cleaner",N,3,5033,l/957/MX8_1_zoom__24112.jpg,"Zodiac Baracuda MX8",N,4,5032,s/720/maxresdefault__98476.jpg,"Swimming Pool Cleaning Robot",N,5,5035,i/322/MX8_4__91070.jpg,"Suction Cleaner Swimming Pools MX8",N,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zodiac, Baracuda, MX8, Automatic, auto, Suction, Cleaner, BAMX8,","Zodiac Baracuda MX8 Swimming pool Automatic Suction Cleaner ","Zodiac, Cleaner, Cleaning, Automatic, Pool, Swimming, Baracuda, MX8, Suction, ","The Zodiac MX8 is ready to battle your pool's toughest dirt and debris. The dual cyclonic suction enables the MX8 to move faster",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/swimming-pools/zodiac-baracuda-mx8-swimming-pool-automatic-suction-cleaner/,,3478580706686,BAMX8,,"""Pool Type=In Ground"";""Type=Inground Suction Cleaning Robot"";""Connection=Skimmer Or 1.5"""" Vacuum Line"";""Pool Surfaces=Concrete, Tile, Vinyl, Fibreglass"""
Product,1529,"Zodiac Baracuda R3 Swimming Pool Automatic Suction Cleaner",P,BAR3,,Zodiac,,Right,"<h2>Zodiac Baracuda R3 Automatic swimming pool suction cleaner</h2> <p>The <em>Zodiac Baracuda R3 pool suction cleaner</em> uses simple technology yet has a highly effective finish! This swimming pool cleaner is ideally used for inground pools and simply connects to either a suction point on the wall or uses your skimmer suction point.</p> <p>The <em>Zodiac R3 Automatic Suction Cleaner</em> is suitable for most types of pool surfaces i.e. tiled, liner, concrete, vinyl, fibreglass etc. and is supplied with 10 metres of hose (10 x 1m twist lock hoses)</p> <h3>Zodiac Baracuda R3 Pool Suction Cleaner Features:</h3> <ul> <li>Automated cleaning which uses a Hydraulic Suction</li> <li>The R3 is lightweight and very simple to use and set up</li> <li>Designed with one moving part - the Duralife Diaphragm.&nbsp; The strong reinforced outer ribbing makes the diaphragm significantly more durable than competitive products and past models of Baracuda Cleaner, like the G2.&nbsp; The diaphragm is super easy to clean or replace and provides long lasting efficient suction</li> <li>Extremely quiet operations</li> <li>10 metres of Twist &amp; Lock Hose</li> <li>Rotating Wheel Deflector for added assistance with easy navigation around corners, steps, ladders and drains</li> <li><strong><span style=""color: #ff0000;"">Minimum Pump Requirement: 1/2 Horse Power</span></strong></li> <li><strong><span style=""color: #ff0000;"">12 Month Warranty (Does not include the diaphragm, these can wear with bad water chemistry)</span></strong></li> </ul> <h3>Downloads</h3> <p><a href=""https://www.jacksonsleisure.com/content/pdf/swimming_pool_cleaners/Baracuda-B3-T3-R3-Instructions.PDF"" target=""_blank""><img class=""__mce_add_custom__"" title=""download-manual.jpg"" src=""https://cdn2.bigcommerce.com/server1100/fkhd5nhp/product_images/uploaded_images/download-manual.jpg"" alt=""download-manual.jpg"" width=""172"" height=""62"" /></a></p>",299.95,0.00,0.00,0.00,0.0000,N,,0.1000,0.0000,0.0000,0.0000,Y,Y,"Sent on a next working day carrier!","by product",0,0,"Swimming Pool;Swimming Pool/Swimming Pool Maintenance /Suction Cleaners",7009,x/514/Zodiac-R3-Suction-Cleaner__01976.jpg,"Barracuda R3 Pool cleaner",Y,0,7010,d/797/zodiac_r3__21009.jpg,"R3 swimming pool suction cleaner",N,1,7011,k/234/zodiac-r3__90355.jpg,"swimming pool cleaner",N,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pool cleaner, suction cleaner, barracuda, b3,","Zodiac Baracuda B3 Suction Automatic Swimming Pool Cleaner","Zodiac, Cleaner, Cleaning, Automatic, Pool, Swimming, Barracuda, B3, Suction,","The Zodiac Barracuda B3 Suction Pool Cleaner is in stock and sent with a Next Working Day delivery service!",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/swimming-pool/zodiac-baracuda-r3-swimming-pool-automatic-suction-cleaner/,,3478580706754,BAR3,,"""Pool Types=Concrete, vinyl, Tile"""
Product,1530,"Baracuda In-Line Leaf Trap For MX8 and B3 Cleaners",P,SPBA22C,,Zodiac,,Right,"<h1>Baracuda In-Line Leaf Trap For MX8 and B3 Cleaners</h1> <p>An In-Line filter for collecting and trapping debris before it can reach the pump basket (preventing clogging), the <em>Baracuda In-Line Leaf Trap for MX8 and B3 Automatic Suction Cleaners</em> is suitable for use with most pools and is easy to both use and maintain.</p> <h3>Baracuda Suction Cleaner Leaf Trap Features</h3> <ul type=""disc""> <li>Has a greater capacity for leaves and debris than the average pump basket, with a convenient handle for easier cleaning and emptying</li> <li>Connects directly to the skimmer or to the suction point</li> <li>Includes a built-in drain plug to empty water for easier canister handling</li> <li>Manufactured from clear UV-resistant materials so you can see when the <em>Baracuda Leaf Trap</em> needs emptying.</li> <li>Unique T-trap connection meaning that all vacuum hoses remain connected while the leaf trap is removed</li> <li>Unique design which uses the water flow of your automatic suction cleaner to create a vacuum within the trap, compacting and holding more leaves and debris (with less need for emptying as a result!)</li> <li>Can be used when full without affecting the pump or diminishing the suction rate</li> <li>Suitable for all pools</li> </ul>",119.00,0.00,0.00,0.00,0.0000,N,,0.1000,0.0000,0.0000,0.0000,Y,N,"sent with a Next Working Day courier service!","by product",0,0,"Swimming Pool;Swimming Pool/Swimming Pool Maintenance /Suction Cleaners",5040,n/876/Baracuda_Leaf_Trap_2015__56342.jpg,"Baracuda Leaf Trap For Barracuda MX8 & B3",Y,0,5051,m/219/leaf_catcher__81091.jpg,"Baracuda In-Line Leaf Trap For MX8 and B3 Cleaners (SPBA22C) ",N,1,5052,g/158/zodiac_leaf_catcher__29897.jpg,"The In-Line Leaf Trap in action",N,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Leaf, Trap, MX8, B3, Cleaners,","Baracuda Leaf Trap For MX8 and B3 Swimming pool Suction Cleaners","Barracuda, baracuda, Leaf, Trap, Swimming, Pool, cleaners, mx8, zodiac, suction, mx8, b3,","The Baracuda Leaf Trap for Zodiac MX8 and B3 Suction Cleaners is in stock and sent with a Next Working Day delivery service!",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/swimming-pools/baracuda-in-line-leaf-trap-for-mx8-and-b3-cleaners/,,,SPBA22C,,
Product,1531,"2 in1 Childrens Tennis Badminton Training Set Kids Trainer",P,JC-228A,,"Outdoor Play",,Right,"<h1>The 2 in1 Childrens Tennis Badminton Training starter Set</h1> <h3>A great tennis and badminton starter kit rolled into the 1 training set!&nbsp;</h3> <p>Ideal for providing children with the sort of essential, starter skills they'll need before they're able to move on in later years to the real thing!&nbsp; With it's quality build you can be assured that this <em>children's tennis and badminton training set</em> will provide years of fun and enjoyment and maybe bring the next top sports star onto the world stage!&nbsp; Parts made from virgin plastic not recycled.</p> <h2>Contents</h2> <ul> <li>Poles 53mm Dia, (4 parts 70cm long)</li> <li>2 Soft Tennis Balls</li> <li>2 x Tennis Rackets (21 Inch)</li> <li>2 Lids for the poles</li> <li>2 Badminton Rackets</li> <li>2 Pole Joints</li> <li>2 Plastic Bases</li> <li>1 Shuttlecock</li> <li>2 Plastic Tees</li> <li>1 Net</li> </ul> <p>&nbsp;</p> <p>&nbsp;</p>",29.95,0.00,0.00,0.00,0.0000,N,,0.1000,0.0000,0.0000,0.0000,N,N,"Sold Out!","by product",5,4,"Toys & Outdoor Play/Garden Games",5043,g/591/JC_228A_box__31151.jpg,"2 in1 Childrens Tennis Badminton Training Set Kids Trainer (JC-228A)",N,0,5044,m/124/JC_228A_kids__36788.jpg,"2 in1 Childrens Tennis Badminton Trainer",Y,1,5045,r/011/JC_228A_parts__52021.jpg,"2 in1 Childrens Tennis Badminton Training Set Kids Trainer 5413501072288",N,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kids tennis, kids badminton, childrens tennis, childrens badminton,","2 in1 Childrens Tennis and Badminton Trainer Set Kids Training","kids tennis trainer, childrens trainer set, childrens tennis, kids tennis, kids badminton, childrens badminton,","2 in1 Childrens Tennis Badminton Training Set is in stock and sent with a Next Working Day courier service",,,,New,N,N,,N,,,0,"Default Tax Class",5413501072288,N,/toys-outdoor-play/garden-games/2-in1-childrens-tennis-badminton-training-set-kids-trainer/,,,JC-228A,,
Product,1532,"Thetford 165 Porta Potti Toilet & Aqua Kem Sachets",P,92806-30533AJ,,Thetford,,Right,"<h1>Thetford 165 Porta Potti Toilet &amp; Aqua Kem Blue Sachets</h1> <p>A convenient pack which combines the <em>Thetford 165 Porta Potti Toilet</em> with a bag of Thetford's easy to use, essential toilet cleaning chemical &mdash; <em>Aqua Kem Blue Sachets</em>, this combo set makes your portable toilet instantly ready to use and incredible easy to maintain!</p> <ul> <li>Manual bellows pump flush</li> <li>Large 21L waste tank capacity</li> <li>15L flush Water tank capacity</li> <li>Secure waste tank carry handle with integrated pour spout for ease of use</li> <li>Improved seating comfort making it supportive to use</li> </ul> <h2>Aqua Kem Blue Sachets</h2> <ul> <li>Features 12 cleaning sachets which provide an exact single dosage per sachet (approximately just enough to last you an entire season)</li> <li>Disguises unpleasant odours</li> <li>Liquefies waste in the holding tank, reducing gas build up</li> <li>Ensures for a clean and fresh waste holding tank!</li> <li>Lightweight, practical packaging</li> <li>Allows for easy emptying without spattering</li> <li>Biologically degradable and environmentally friendly</li> </ul> <p style=""text-align: center;""><a title=""Thetford Porta Potti 165 Toilet"" href=""https://www.jacksonsleisure.com/content/pdf/thetford/thetford-165-qube-manual.pdf"" target=""_blank""><img class=""__mce_add_custom__"" title=""download-manual.jpg"" src=""https://cdn11.bigcommerce.com/s-fkhd5nhp/product_images/uploaded_images/download-manual.jpg"" alt=""download-manual.jpg"" width=""200"" height=""72"" /></a><a title=""Thetford porta Potti Toilet brochure"" href=""https://www.jacksonsleisure.com/content/pdf/thetford/Thetford-Port-Potti-Toilet-Brochure.pdf"" target=""_blank""><img class=""__mce_add_custom__"" title=""download-brochure.jpg"" src=""https://cdn11.bigcommerce.com/s-fkhd5nhp/product_images/uploaded_images/download-brochure.jpg"" alt=""download-brochure.jpg"" width=""200"" height=""72"" /></a><a title=""Thetford Porta Potti User Manual"" href=""https://www.jacksonsleisure.com/content/pdf/thetford/THETFORD_PortableToilet_infographic_EN%200718.pdf"" target=""_blank""><img class=""__mce_add_custom__"" title=""download-user-guide.jpg"" src=""https://cdn11.bigcommerce.com/s-fkhd5nhp/product_images/uploaded_images/download-user-guide.jpg"" alt=""download-user-guide.jpg"" width=""200"" height=""72"" /></a></p>",84.95,0.00,0.00,0.00,0.0000,N,,0.1000,0.0000,0.0000,0.0000,Y,Y,"Thetford 165 Porta Potti is Sent Next Day Delivery",none,30,0,"Caravan, Campervan & Motorhome/Bathroom Equipment/Portable and Cassette Toilets;Caravan, Campervan & Motorhome/Bathroom Equipment/Portable and Cassette Toilets/Portable Toilets;Caravan, Campervan & Motorhome",21147,a/901/Thetford_Potti_wBlue__26688.jpg,"Thetford 165 portable toilet and Aqua Kem Blue sachets",Y,0,21148,j/801/Thetford_Blue__20335.jpg,"Aqua Kem Blue sachets",N,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"165, Qube, Porta, Potti, Toilet, Aqua, Kem, Sachets, ","Thetford 165 Porta Potti Qube Toilet & Aqua Kem Blue Cleaning Sachets","Thetford, 165, Porta, Potti, Qube, Toilet, Aqua, Kem, Blue, Cleaning, Sachets, Combo, Pack,","The Thetford 165 Porta Potti Qube Toilet & Aqua Kem Blue Cleaning Sachets are in stock and sent with a Next Working Day delivery service!",,,,New,N,N,,N,,,10,"Default Tax Class",8710315994261,N,/caravan-campervan-motorhome/thetford-165-porta-potti-toilet-aqua-kem-sachets/,,8710315994261,92805-blue,,
Product,1533,"Wireless LED Swimming Pool Colour Change Underwater Light Par 56 ",P,"Astral Wireless",,Astral,"Wireless Underwater LED Lights",Right,"<h1>Wireless LED Swimming Pool Colour Change Underwater Light (Par 56)</h1> <p>An energy efficient and convenient <em>swimming pool light</em> solution with a stunning end effect, the <em>Underwater Wireless LED Colour Change Light</em> can be controlled easily via a remote control (with motion control).</p> <p>Enjoy the freedom of changing the colour, sequence and speed of your pool lights to whatever whim you fancy via the wireless remote control. With 12 different colours to choose from the<em> Wireless Colour Change Par 56 Pool Light</em> has 8 different sequences and can be controlled from up to 5 metres away.</p> <h3>Enjoy the cost effective, energy efficient &amp; long lasting benefits of LED lighting</h3> <p>Featuring high quality par 56 LED bulbs, these Colour Changing Pool Lights can save you money and reduce energy consumption by at least 80% compared to traditional lights, and with a minimum life expectancy of 100,000 hours, there&rsquo;s no denying that LED lights are the best option going for underwater lighting!</p> <h3>Wireless LED Underwater Colour Change Light Features</h3> <ul> <li>Wireless remote control to control up to 3 lights from up to 5 metres away</li> <li>Enjoy 12 different colours and 8 different sequences of underwater LED light</li> <li>Control colour, speed and sequence remotely and with great ease</li> <li>Fits any Par 56 light unit</li> <li>Benefits from energy efficient, cost effective and long lasting LED light technology</li> </ul> <p><strong>Please note</strong>:<em>You can buy the wireless swimming pool LED colour change light as either:</em></p> <ul> <li>1 x lamp with 1 x remote control</li> <li>2 x lamp with 1 x remote control</li> </ul> <p><em>Please use the drop down menu at the top of the page to choose your preference of lamp amount prior to checkout.</em></p> <h2>Downloads</h2> <p><a href=""https://www.jacksonsleisure.com/content/pdf/pool_lights/lumiplus_manual.pdf"" target=""_blank"">Colour Change Underwater Light Manual</a></p>",375.00,0.00,0.00,0.00,0.0000,N,"3 Year Warranty",0.1000,0.0000,0.0000,0.0000,N,Y,"Delivery for the Wireless colour change LED system is 2-4 days","by option",1999999993,0,"Swimming Pool;Swimming Pool/Pool Lights;Swimming Pool/Pool Lights/LED Pool Lights",5055,x/220/lumipluspack__14583.jpg,"Wireless LED Par 56 Swimming Pool Colour Change Light",Y,0,5061,g/346/remote__86011.jpg,"Remote control",N,1,5057,s/057/lumiplusbox__08661.jpg,Packaging,N,2,5060,h/974/bright_blue_pool__98733.jpg,"Light blue light",N,3,5056,s/071/blue_pool__94095.jpg,"Royal blue light",N,4,5059,h/141/green_pool__42121.jpg,"Light green light",N,5,5058,o/238/red_pool__68260.jpg,"Red light",N,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wireless, LED, Par 56, underwater, Colour, Change, Light,","Wireless Swimming Pool Colour Change LED Underwater Light (Par 56) with Remote Control","Wireless, Par 56, Swimming, Pool, Colour, Change, LED, Underwater, Light, Remote, Control","Wireless Swimming Pool Colour Change Underwater LED Lights are in stock and sent with a Next Working Day delivery service.  ",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/swimming-pools/wireless-led-swimming-pool-colour-change-underwater-light-par-56/,,,59127,,
"  SKU",1496,"[S]Select Number Of Lamps=1 x Lamp + 1 x Remote Control",,59126,,,,,,375.00,0.00,,,,N,,,,,,,,,,999999999,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",1497,"[S]Select Number Of Lamps=2 x Lamp + 1 x Remote Control",,59127,,,,,,619.00,0.00,,,,N,,,,,,,,,,999999994,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Rule",169,,,59126,,,,,,[FIXED]375,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
"  Rule",170,,,59127,,,,,,[FIXED]619,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
