"Item Type","Product ID","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image ID - 1","Product Image File - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Sort - 1","Product Image ID - 2","Product Image File - 2","Product Image Description - 2","Product Image Is Thumbnail - 2","Product Image Sort - 2","Product Image ID - 3","Product Image File - 3","Product Image Description - 3","Product Image Is Thumbnail - 3","Product Image Sort - 3","Product Image ID - 4","Product Image File - 4","Product Image Description - 4","Product Image Is Thumbnail - 4","Product Image Sort - 4","Product Image ID - 5","Product Image File - 5","Product Image Description - 5","Product Image Is Thumbnail - 5","Product Image Sort - 5","Product Image ID - 6","Product Image File - 6","Product Image Description - 6","Product Image Is Thumbnail - 6","Product Image Sort - 6","Product Image ID - 7","Product Image File - 7","Product Image Description - 7","Product Image Is Thumbnail - 7","Product Image Sort - 7","Product Image ID - 8","Product Image File - 8","Product Image Description - 8","Product Image Is Thumbnail - 8","Product Image Sort - 8","Product Image ID - 9","Product Image File - 9","Product Image Description - 9","Product Image Is Thumbnail - 9","Product Image Sort - 9","Product Image ID - 10","Product Image File - 10","Product Image Description - 10","Product Image Is Thumbnail - 10","Product Image Sort - 10","Product Image ID - 11","Product Image File - 11","Product Image Description - 11","Product Image Is Thumbnail - 11","Product Image Sort - 11","Product Image ID - 12","Product Image File - 12","Product Image Description - 12","Product Image Is Thumbnail - 12","Product Image Sort - 12","Product Image ID - 13","Product Image File - 13","Product Image Description - 13","Product Image Is Thumbnail - 13","Product Image Sort - 13","Product Image ID - 14","Product Image File - 14","Product Image Description - 14","Product Image Is Thumbnail - 14","Product Image Sort - 14","Product Image ID - 15","Product Image File - 15","Product Image Description - 15","Product Image Is Thumbnail - 15","Product Image Sort - 15","Product Image ID - 16","Product Image File - 16","Product Image Description - 16","Product Image Is Thumbnail - 16","Product Image Sort - 16","Product Image ID - 17","Product Image File - 17","Product Image Description - 17","Product Image Is Thumbnail - 17","Product Image Sort - 17","Product Image ID - 18","Product Image File - 18","Product Image Description - 18","Product Image Is Thumbnail - 18","Product Image Sort - 18","Product Image ID - 19","Product Image File - 19","Product Image Description - 19","Product Image Is Thumbnail - 19","Product Image Sort - 19","Product Image ID - 20","Product Image File - 20","Product Image Description - 20","Product Image Is Thumbnail - 20","Product Image Sort - 20","Product Image ID - 21","Product Image File - 21","Product Image Description - 21","Product Image Is Thumbnail - 21","Product Image Sort - 21","Product Image ID - 22","Product Image File - 22","Product Image Description - 22","Product Image Is Thumbnail - 22","Product Image Sort - 22","Product Image ID - 23","Product Image File - 23","Product Image Description - 23","Product Image Is Thumbnail - 23","Product Image Sort - 23","Product Image ID - 24","Product Image File - 24","Product Image Description - 24","Product Image Is Thumbnail - 24","Product Image Sort - 24","Product Image ID - 25","Product Image File - 25","Product Image Description - 25","Product Image Is Thumbnail - 25","Product Image Sort - 25","Product Image ID - 26","Product Image File - 26","Product Image Description - 26","Product Image Is Thumbnail - 26","Product Image Sort - 26","Product Image ID - 27","Product Image File - 27","Product Image Description - 27","Product Image Is Thumbnail - 27","Product Image Sort - 27","Product Image ID - 28","Product Image File - 28","Product Image Description - 28","Product Image Is Thumbnail - 28","Product Image Sort - 28","Search Keywords","Page Title","Meta Keywords","Meta Description","MYOB Asset Acct","MYOB Income Acct","MYOB Expense Acct","Product Condition","Show Product Condition?","Event Date Required?","Event Date Name","Event Date Is Limited?","Event Date Start Date","Event Date End Date","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","Global Trade Item Number","Manufacturer Part Number","Tax Provider Tax Code","Product Custom Fields"
Product,641,"Waeco PerfectKitchen MCK750 12 Volt Caravan Kettle",P,MCK-750-12/N,,,,Right,"<h2>Waeco MCK750 12 Volt Portable Caravan Kettle</h2> <p class=""MsoNormal"">The Waeco MCK750 12v Caravan Kettle is a stylish and incredibly handy portable 12v kettle ideal for caravans, motorhomes and boats.</p> <h3 class=""MsoNormal"">This stylish Waeco 12v Kettle can be desk or wall mounted for complete safety whilst out on the road or waters!</h3> <p class=""MsoNormal"">Featuring a 750ml total capacity, the Waeco MCK750 12v Caravan Kettle looks just like your kettle at home and is perfect for preparing hot drinks or snacks on the go &ndash; from tea and coffee to soup and noodle pots, the choice is yours!</p> <h3 class=""MsoNormal"">Waeco MCK750 12v Kettle quality features</h3> <ul> <li>This Waeco 12v Kettle automatically switches-off when boiling temperature is reached</li> <li>boil-dry protection</li> <li>status indication</li> </ul> <p>&nbsp;</p>",49.95,0.00,0.00,0.00,0.0000,N,"2 years",0.1000,0.0000,0.0000,0.0000,N,N,"The Waeco MCK750 12v Kettle is available with a delivery of 3-5 working days",none,0,0,"Caravan, Campervan & Motorhome/Kitchen Equipment;Caravan, Campervan & Motorhome",1766,p/889/11885_3__15916.jpg,"Waeco PerfectKitchen MCK750",Y,0,1767,c/951/11885_2__90285.jpg,"Waeco PerfectKitchen MCK750",N,1,1765,u/388/750a__23426.jpg,"Waeco PerfectKitchen MCK750",N,2,1768,b/412/WaecoPerfectKitchenMCK750__66884.jpg,"Waeco PerfectKitchen MCK75",N,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Waeco, PerfectKitchen, MCK750, 12 Volt, Kettle, MCK-750-12/N,","Waeco PerfectKitchen MCK750 12V Caravan Kettle","Waeco, PerfectKitchen, MCK750, 12 Volt, Kettle, Caravan, Campervan, Boat, Marine, Portable, MCK-750-12/N,","The Waeco PerfectKitchen MCK750 12 Volt Kettle is ideal for boats, caravans and motorhomes & can be wall or desk mounted for complete safety.",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/caravan-motorhome/waeco-perfectkitchen-mck750-12-volt-caravan-kettle/,,,,,"""MCK750 12v Kettle Capacity=0.75 Litres"";""MCK750 12v Kettle Voltage=12V DC"";""Medium Power Input=12 Volts: 200 Watts"";""MCK750 12v Kettle Weight=0.8"";""Waeco 12v Kettle Dimensions (WxHxD)=190 x 205 x 125 mm"""
Product,642,"Reich Kama Caravan Mixer Chrome Tap with Swivelling Spout",P,,,Reich,"Reich kama tap",Right,"<h1><span class=""productlistfeatures"">Reich Kama Caravan Mixer <span class=""productlistfeatures"">Chrome</span> Tap<br /></span></h1> <p class=""MsoListBullet"" style=""margin-left: 0cm; text-indent: 0cm; mso-list: none; tab-stops: 36.0pt;""><span class=""productlistfeatures"">Featuring a timelessly elegant design sure to fit in unison with most caravan bathrooms or kitchens, Reich Kama Caravan Mixer Taps come with a <strong>360&deg; swivelling spout</strong> and for weight efficiency are made of a high quality plastic rather than brass.</span></p> <h3 class=""MsoListBullet"" style=""margin-left: 0cm; text-indent: 0cm; mso-list: none; tab-stops: 36.0pt;""><span class=""productlistfeatures"">Please note the following.</span></h3> <p class=""MsoNormal""><span class=""productlistfeatures"">Reich Kama Single Lever Mixer Taps are suitable for submersible pumps (Micro switched) and pressure pumps.<br /></span></p> <p class=""MsoNormal""><span class=""productlistfeatures"">Reich Kama Taps require a <span style=""text-decoration: underline;"">33mm</span> mounting hole as standard, but a 27mm tap is also available. Our standard taps are designed for flexi pipes.</span></p>",62.95,0.00,0.00,0.00,0.0000,N,,0.1000,0.0000,0.0000,0.0000,Y,Y,"Fast delivery options available!",none,60,0,"Caravan, Campervan & Motorhome/Kitchen Equipment;Caravan, Campervan & Motorhome;Caravan, Campervan & Motorhome/Kitchen Equipment/Taps;Caravan, Campervan & Motorhome/Water Tanks & Plumbing/Taps",8536,y/918/kamatap__39585.JPG,"Reich Kama Chrome Mixer Tap ",Y,0,18051,c/288/Reich_Kama_Tap_-_Jacksons_Leisure_Supplies__78849.jpg,"Reich Kama Tap with Microswitch and barbed connections for flexible pipe",N,1,17884,v/910/Kama-27-1__93751.png,,N,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"reich, kama, mixer tap, chrome, white,f258,f274","Reich Kama Motorhome Mixer Taps Chrome & White","reich, kama, motorhome, caravan, camper, mixer, chrome, white, tap,","Reich Kama Single Level Mixer Taps for caravan and motorhomes kitchens and bathrooms. Available in a choice of either chrome or white.",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/caravan-motorhome/reich-kama-caravan-mixer-chrome-tap-with-swivelling-spout/,,,,,"""27mm Kama=12mm Speed fit fittings"";""33mm Kama=10mm Barbed fittings"";""Material=High-quality Plastic"";Finish=Chrome"
"  SKU",6280,"[S]Tape hole diameter=27mm,[S]Choose Fitting=Barbed",,F258,,,,,,62.95,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",6281,"[S]Tape hole diameter=33mm,[S]Choose Fitting=Barbed",,F274,,,,,,61.95,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",9974,"[S]Tape hole diameter=27mm,[S]Choose Fitting=John Guest",,F258S,,,,,,62.95,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",9975,"[S]Tape hole diameter=33mm,[S]Choose Fitting=John Guest",,F274S,,,,,,61.95,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Rule",11578,,,F274,,,,,,[FIXED]61.95,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
"  Rule",14064,,,F258,,,,,,[FIXED]62.95,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
"  Rule",15953,,,F258S,,,,,,[FIXED]62.95,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
"  Rule",15954,,,F274S,,,,,,[FIXED]61.95,,,,,,,,,,,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
