"Item Type","Product ID","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image ID - 1","Product Image File - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Sort - 1","Product Image ID - 2","Product Image File - 2","Product Image Description - 2","Product Image Is Thumbnail - 2","Product Image Sort - 2","Product Image ID - 3","Product Image File - 3","Product Image Description - 3","Product Image Is Thumbnail - 3","Product Image Sort - 3","Product Image ID - 4","Product Image File - 4","Product Image Description - 4","Product Image Is Thumbnail - 4","Product Image Sort - 4","Product Image ID - 5","Product Image File - 5","Product Image Description - 5","Product Image Is Thumbnail - 5","Product Image Sort - 5","Product Image ID - 6","Product Image File - 6","Product Image Description - 6","Product Image Is Thumbnail - 6","Product Image Sort - 6","Product Image ID - 7","Product Image File - 7","Product Image Description - 7","Product Image Is Thumbnail - 7","Product Image Sort - 7","Product Image ID - 8","Product Image File - 8","Product Image Description - 8","Product Image Is Thumbnail - 8","Product Image Sort - 8","Product Image ID - 9","Product Image File - 9","Product Image Description - 9","Product Image Is Thumbnail - 9","Product Image Sort - 9","Product Image ID - 10","Product Image File - 10","Product Image Description - 10","Product Image Is Thumbnail - 10","Product Image Sort - 10","Product Image ID - 11","Product Image File - 11","Product Image Description - 11","Product Image Is Thumbnail - 11","Product Image Sort - 11","Product Image ID - 12","Product Image File - 12","Product Image Description - 12","Product Image Is Thumbnail - 12","Product Image Sort - 12","Product Image ID - 13","Product Image File - 13","Product Image Description - 13","Product Image Is Thumbnail - 13","Product Image Sort - 13","Product Image ID - 14","Product Image File - 14","Product Image Description - 14","Product Image Is Thumbnail - 14","Product Image Sort - 14","Product Image ID - 15","Product Image File - 15","Product Image Description - 15","Product Image Is Thumbnail - 15","Product Image Sort - 15","Search Keywords","Page Title","Meta Keywords","Meta Description","MYOB Asset Acct","MYOB Income Acct","MYOB Expense Acct","Product Condition","Show Product Condition?","Event Date Required?","Event Date Name","Event Date Is Limited?","Event Date Start Date","Event Date End Date","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","Global Trade Item Number","Manufacturer Part Number","Tax Provider Tax Code","Product Custom Fields"
Product,361,"Hayward PV50 Navigator Pro Swimming Pool Cleaner",P,HAY-20-0120,,Hayward,,Right,"<h1>Hayward&nbsp; PV50 Navigator Pro Swimming Pool Cleaner(With 5 Year Warranty)</h1> <p class=""MsoNormal"">An intelligent, efficient and thorough swimming pool cleaner, the Hayward Navigator Pro Swimming Pool Cleaner is perfect for the discerning swimming pool owner who wants a quiet, fast and diligent cleaner for a sparklingly clear pool. <br /> <br /> The Hayward Navigator Pro Swimming Pool Cleaner moves in a series of predetermined left and right turns to provide an orderly and complete coverage of the surface of your swimming pool. With its exclusive SmartDrive technology, the Hayward Navigator Pro benefits from speed, power and complete effectiveness, making it a terrific investment for in ground and above ground swimming pools.</p> <p>The exclusive SmartDrive technology also provides a steering system, ensuring that the average sized pool can be cleaned in less than 3-4 hours. Compared to other suction cleaners, the technology also provides for a silent, peaceful operation for a pleasant pool environment.</p> <p class=""MsoNormal"">As the Hayward Navigation Pro Swimming Pool Cleaner is powered by your existing filtration system, you&rsquo;ll save on the expense of an energy consuming booster pump and can also enjoy complete effortless, straight forward operations, meaning that you won&rsquo;t need to empty or replace any debris bags.<br /> <br /> Setting the standard for high performance swimming pool cleaning, the Hayward Navigator Pro Swimming Pool Cleaner is suitable for above ground and in ground pools of all types, shapes and sizes.</p> <h3><span style=""color: #ff0000;"">Please note: Requires a minimum of 3/4 HP pump for correct operation.</span></h3> <p class=""MsoNormal""><img class=""__mce_add_custom__"" style=""display: block; margin-left: auto; margin-right: auto;"" title=""hayward-logo.jpg"" src=""https://cdn11.bigcommerce.com/s-fkhd5nhp/product_images/uploaded_images/hayward-logo.jpg"" alt=""hayward-logo.jpg"" width=""410"" height=""80"" /></p> <p class=""MsoNormal""><img class=""__mce_add_custom__"" style=""display: block; margin-left: auto; margin-right: auto;"" title=""hayward-navigator-pro-pool-cleaner.jpg"" src=""https://cdn11.bigcommerce.com/s-fkhd5nhp/product_images/uploaded_images/hayward-navigator-pro-pool-cleaner.jpg"" alt=""hayward-navigator-pro-pool-cleaner.jpg"" width=""603"" height=""281"" /></p> <h3 style=""text-align: left;""><strong>Hayward </strong>Swimming Pool Cleaner Features:</h3> <ul style=""text-align: right;""> <li style=""text-align: left;"">Exclusive Hayward Smart Drive programmed steering pattern ensures the entire pool is cleaned quickly and completely</li> <li style=""text-align: left;"">Unique turbine/gearing system provides constant and balanced water flow assuring quiet operation and gentle movement across the pool bottom</li> <li style=""text-align: left;"">Wider cleaning path handles pollen, sand, twigs, leaves and pebbles with ease</li> <li style=""text-align: left;"">Longer wearing components (wings, flaps and shoes) for additional product longevity</li> <li style=""text-align: left;"">Streamlined head design in deep maroon (vinyl) and Silverado grey.</li> <li style=""text-align: left;"">Installs in less than 15 minutes, without tools</li> </ul> <p>&nbsp;</p> <h3><span style=""color: #ff0000;"">A simple guide to the Hayward Navigator Pro Pool Cleaner</span></h3> <p style=""text-align: right;"">&nbsp;</p> <p><!-- mceItemMediaService_youtube:{&quot;id&quot;:&quot;AhbIlvkZqzQ&quot;,&quot;width&quot;:440,&quot;height&quot;:330} --><!-- do not directly edit this HTML, it will be overwritten by the mediaservice plugin --><iframe width=""440"" height=""330"" src=""//www.youtube.com/embed/AhbIlvkZqzQ?fs=1"" frameborder=""0"" allowfullscreen></iframe><!-- /mceItemMediaService --></p>",349.00,0.00,0.00,0.00,0.0000,N,,0.1000,0.0000,0.0000,0.0000,N,Y,"CURRENTLY UNAVAILABLE",none,0,0,"Swimming Pool;Swimming Pool/Swimming Pool Maintenance /Suction Cleaners",5658,r/074/haywardpv50__02730.jpg,"Hayward Navigator Pro Swimming Pool Cleaner",Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Navigator, Pro, automatic, suction, Pool, Cleaner, HAY-20-0120, Pv50","Hayward PV50 Navigator Pro Automatic Swimming Pool Cleaner UK","Hayward, Navigator, Pro, Swimming, Pool, Cleaner, UK","Hayward Navigator Pro Swimming Pool Cleaner with NEXT WORKING DAY DELIVERY",,,,New,N,N,,N,,,0,"Default Tax Class",3660149604360,N,/swimming-pools/hayward-pv50-navigator-pro-swimming-pool-cleaner/,,3660149604360,HAY-20-0120,,
Product,362,"Classic Swimming Pool Suction Cleaner",P,AC02,,,,Right,"<h2>Plastica Classic Automatic Swimming Pool Cleaner</h2> <p class=""MsoNormal"">Easy to install and suitable for both in ground and above ground swimming pools, the Plastica Classic Swimming Pool Suction Cleaner is the ideal automatic pool cleaner solution for people with a tight budget or simple pool requirements.</p> <p class=""MsoNormal"">A quiet operator, the Plastica Classic Swimming Pool Suction Cleaner simply connects to the skimmer or dedicated suction line and comes complete with a speed control valve and 10m of hose (supplied in sections).</p> <h3 class=""MsoNormal""><br /> <span style=""color: #ff0000;""><strong>Please note</strong>: Requires a minimum of 0.5p pump for correct operation.</span></h3>",89.95,0.00,0.00,0.00,0.0000,N,,0.1100,0.0000,0.0000,0.0000,N,N,"Unfortunately this cleaner has been discontinued please look at the Baracuda R3",none,0,0,"Swimming Pool;Swimming Pool/Swimming Pool Maintenance /Suction Cleaners",1094,u/872/Plastica_Automatic_Swimming_Pool_Cleaner__71593.jpg,,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pool, Suction, Cleaner, AC02,","Plastica Classic Swimming Pool Suction Cleaner UK","plastica, classic, automatic, swimming, pool, cleaner, suction, UK","The Plastica Classic Swimming Pool Cleaner, ideal for tight budgets or simple requirements and available with next working day delivery.",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/swimming-pools/classic-swimming-pool-suction-cleaner/,,,PAC02,,
Product,363,"Sta-Rite 5P2R Swimming Pool Pump",P,,,Sta-Rite,"Sta-rite 5P2R",Right,"<h1 class=""MsoNormal"">Sta-Rite 5P2R Swimming Pool Pump</h1> <p class=""MsoNormal"">With about 80 years worth of experience under their belt, you can always rely on Sta-Rite products to be of premier quality and to provide a dependable, solid performance every time and for an enduring lifespan.</p> <p class=""MsoNormal"">The Sta-Rite 5P2R Swimming Pool Pump delivers just that; resistant to temperature and corrosion, moulded of fibreglass reinforcement, and featuring exceptionally strong thermoplastic, it&rsquo;s designed for an outstanding pressure operation that is unparalleled in the industry.</p> <p class=""MsoNormal"">Comprising of inner parts completely constructed of high grade stainless steel (or thermoplastic material), the Sta-Rite 5P2R also comes with a special motor shaft and is capable of flow rates of up to 22m3/h and higher heads of up to 22.5 metres.</p> <h3 class=""MsoNormal"">Sta-Rite 5P2R Swimming Pool Pump Features</h3> <ul> <li>Self-priming diffuser design</li> <li>&lsquo;Hi-Rise&rsquo; Mounting Base</li> <li>High Head Impeller: precision moulded of glass filled polycarbonate, it provides unusually smooth water passages for outstanding performance and efficiency</li> <li>Heavy Duty Motor: 50 Hz motors are designed for continuous and quiet operation, feature stainless steel shaft, sealed and permanently lubricated bearings: runs cooler for prolonged life under high ambient conditions</li> <li>Mechanical Seal: precision lapped and highly polished carbon ceramic stainless steel construction, it assures maximum drip proof corrosion</li> <li>free protection</li> <li>Stainless Steel Pump Champ: easily removed for quick access to all serviceable components</li> <li>&lsquo;See Thru&rsquo; trap lid: designed to withstand 4 bar test pressure as well as high vacuum conditions</li> <li>Big lock-in 5&rdquo; basket</li> </ul> <p style=""text-align: center;""><span style=""color: #000000;""><strong>Please read over the guide below for the Single (1) and Three Phase (3)&nbsp; Sta-Rite 5P2R Swimming Pool Pumps to figure out the best option for your requirements. </strong></span></p> <p style=""text-align: center;""><strong><span style=""color: #ff0000;"">Prior to checkout simply use the dropdown box at the top of the page to pick your option.</span></strong></p> <p>&nbsp;</p> <div align=""center""> <table style=""width: 578px; height: 328px;"" border=""0"" cellspacing=""0"" cellpadding=""5"" align=""center""> <tbody> <tr class=""tabletopcolor""> <td> <h3 align=""center"">Code</h3> </td> <td> <h3 align=""center"">Horse Power</h3> </td> <td> <h3 align=""center"">Phase</h3> </td> <td> <h3 align=""center"">Suction &amp; Delivery</h3> </td> <td> <h3 align=""center"">Kw</h3> </td> </tr> <tr> <td>&nbsp;</td> <td>&nbsp;</td> <td>&nbsp;</td> <td>&nbsp;</td> <td>&nbsp;</td> </tr> <tr class=""tablemidcolor""> <td> <div align=""center"">STA-10-0002</div> <div align=""center"">5P2R-D1</div> </td> <td> <div align=""center"">0.75</div> </td> <td> <div align=""center"">1</div> </td> <td> <div align=""center"">1.5inch</div> </td> <td> <div align=""center"">0.56</div> </td> </tr> <tr> <td> <div align=""center"">STA-10-0003</div> <div align=""center"">5P2R-E1</div> </td> <td> <div align=""center"">1.0</div> </td> <td> <div align=""center"">1</div> </td> <td> <div align=""center"">1.5inch</div> </td> <td> <div align=""center"">0.75</div> </td> </tr> <tr class=""tablemidcolor""> <td> <div align=""center"">STA-10-0004</div> <div align=""center"">5P2R-F1</div> </td> <td> <div align=""center"">1.5</div> </td> <td> <div align=""center"">1</div> </td> <td> <div align=""center"">1.5inch</div> </td> <td> <div align=""center"">1.1</div> </td> </tr> <tr> <td>&nbsp;</td> <td>&nbsp;</td> <td>&nbsp;</td> <td>&nbsp;</td> <td>&nbsp;</td> </tr> <tr class=""tablemidcolor""> <td> <div align=""center"">STA-10-0011</div> <div align=""center"">5P2R-D3</div> </td> <td> <div align=""center"">0.75</div> </td> <td> <div align=""center"">3</div> </td> <td> <div align=""center"">1.5inch</div> </td> <td> <div align=""center"">0.56</div> </td> </tr> <tr> <td> <div align=""center"">STA-10-0012</div> <div align=""center"">5P2R-E3</div> </td> <td> <div align=""center"">1.0</div> </td> <td> <div align=""center"">3</div> </td> <td> <div align=""center"">1.5inch</div> </td> <td> <div align=""center"">0.75</div> </td> </tr> <tr class=""tablemidcolor""> <td> <div align=""center"">STA-10-0013</div> <div align=""center"">5P2R-F3</div> </td> <td> <div align=""center"">1.5</div> </td> <td> <div align=""center"">3</div> </td> <td> <div align=""center"">1.5inch</div> </td> <td> <div align=""center"">1.1</div> </td> </tr> </tbody> </table> </div>",559.00,0.00,0.00,0.00,0.0000,N,,0.1000,0.0000,0.0000,0.0000,Y,Y,"Delivery for the Sta-Rite pumps is 2-4 days",none,0,0,"Swimming Pool;Swimming Pool/Pumps and Filters;Swimming Pool/Pumps and Filters/Pool Pumps",1096,z/067/sta_5p2r__87567.jpg,,Y,0,1095,l/859/sta_5p2r_dia__85983.jpg,,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sta, rite, pump, 5p2r, starite, sta-rite,","Sta-Rite 5P2R Swimming Pool Pump UK","Sta-Rite, 5P2R, Swimming, Pool, Pump, UK","Buy the exceptional Sta-Rite 5P2R Swimming Pool Pump from Jacksons Leisure Supplies today and receive it on a next working day delivery.",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/swimming-pools/sta-rite-5p2r-swimming-pool-pump/,,,5P2R,,
"  SKU",4,"[S]Select HP=0.75,[RB]Select Phase=Single Phase",,5P2RD-1,,,,,,559.95,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",5,"[S]Select HP=1.0,[RB]Select Phase=Single Phase",,5P2RE-1,,,,,,599.95,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",6,"[S]Select HP=1.5,[RB]Select Phase=Single Phase",,5P2RF-1,,,,,,659.95,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",8,"[S]Select HP=0.75,[RB]Select Phase=Three Phase",,5P2RD-3,,,,,,569.95,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",9,"[S]Select HP=1.0,[RB]Select Phase=Three Phase",,5P2RE-3,,,,,,589.95,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",10,"[S]Select HP=1.5,[RB]Select Phase=Three Phase",,5P2RF-3,,,,,,654.95,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Rule",11465,,,5P2RD-1,,,,,,[FIXED]559.95,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
