"Item Type","Product ID","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image ID - 1","Product Image File - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Sort - 1","Product Image ID - 2","Product Image File - 2","Product Image Description - 2","Product Image Is Thumbnail - 2","Product Image Sort - 2","Product Image ID - 3","Product Image File - 3","Product Image Description - 3","Product Image Is Thumbnail - 3","Product Image Sort - 3","Product Image ID - 4","Product Image File - 4","Product Image Description - 4","Product Image Is Thumbnail - 4","Product Image Sort - 4","Product Image ID - 5","Product Image File - 5","Product Image Description - 5","Product Image Is Thumbnail - 5","Product Image Sort - 5","Product Image ID - 6","Product Image File - 6","Product Image Description - 6","Product Image Is Thumbnail - 6","Product Image Sort - 6","Product Image ID - 7","Product Image File - 7","Product Image Description - 7","Product Image Is Thumbnail - 7","Product Image Sort - 7","Product Image ID - 8","Product Image File - 8","Product Image Description - 8","Product Image Is Thumbnail - 8","Product Image Sort - 8","Product Image ID - 9","Product Image File - 9","Product Image Description - 9","Product Image Is Thumbnail - 9","Product Image Sort - 9","Product Image ID - 10","Product Image File - 10","Product Image Description - 10","Product Image Is Thumbnail - 10","Product Image Sort - 10","Product Image ID - 11","Product Image File - 11","Product Image Description - 11","Product Image Is Thumbnail - 11","Product Image Sort - 11","Product Image ID - 12","Product Image File - 12","Product Image Description - 12","Product Image Is Thumbnail - 12","Product Image Sort - 12","Product Image ID - 13","Product Image File - 13","Product Image Description - 13","Product Image Is Thumbnail - 13","Product Image Sort - 13","Product Image ID - 14","Product Image File - 14","Product Image Description - 14","Product Image Is Thumbnail - 14","Product Image Sort - 14","Product Image ID - 15","Product Image File - 15","Product Image Description - 15","Product Image Is Thumbnail - 15","Product Image Sort - 15","Product Image ID - 16","Product Image File - 16","Product Image Description - 16","Product Image Is Thumbnail - 16","Product Image Sort - 16","Product Image ID - 17","Product Image File - 17","Product Image Description - 17","Product Image Is Thumbnail - 17","Product Image Sort - 17","Search Keywords","Page Title","Meta Keywords","Meta Description","MYOB Asset Acct","MYOB Income Acct","MYOB Expense Acct","Product Condition","Show Product Condition?","Event Date Required?","Event Date Name","Event Date Is Limited?","Event Date Start Date","Event Date End Date","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","Global Trade Item Number","Manufacturer Part Number","Tax Provider Tax Code","Product Custom Fields"
Product,2954,"Thetford Spare - Fridge Heater Element - 157w AC",P,626994,,Thetford,,Right,"<h1>Thetford Spare - Fridge Heater Element - 157w AC</h1> <h2>Replacement fridge element for select Thetford fridge made before 12/5/2009 - 90 degree</h2> <p>Spare fridge element part for Thetford refrigerators in campervans, caravans, motorhomes and boats. This element was used in certain fridge models made before 12/5/2009, and features a 90 degree bend. This element is compatible with premium line N90, N97, N100, N104, N109 and N112 fridges. Premium line fridges feature a LCD display.</p> <p>Please note - Thetford spares must be fitted by a qualified engineer for the warranty to remain valid.</p> <p>part no.&nbsp;626994</p>",26.95,0.00,0.00,0.00,0.0000,N,"Thetford spare parts and accessories carry a one-year warranty. Any fitting and/or labour costs are not covered by warranty. Spare parts must be fitted by a qualified engineer, otherwise the warranty will be void.",0.1000,0.0000,0.0000,0.0000,Y,N,"Fast delivery options available!","by product",0,0,"Spares;Spares/Thetford Spares;Spares/Thetford Spares/Thetford Fridge Spares",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626994,"Thetford Spare - Fridge Heater Element - 157w AC","spare,thetford,element,90,157w","Replacement fridge heater element for Thetford fridges. 90 degree element. Perfect for motorhomes, campervans & caravans. Fast UK delivery!",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/caravan-motorhome/spares/thetford-spare-fridge-heater-element-157w-ac/,,,626994,,
Product,2955,"Thetford Spare - Fridge Gas Valve V2 - Campervan & Motorhome Spare",P,62568807,,Thetford,,Right,"<h1>Thetford Manual SR Fridge Gas Valve V2</h1> <h2>Replacement gas valve for select Thetford refrigerators</h2> <p>Genuine Thetford spare part for gas fridges in campervans, caravans, motorhomes and boats. Compatible with Deluxe line versions of the N115, N80, N90, N97, N98, N100, N104, N108, N109, N110 and N112. Deluxe line fridges use traditional knobs instead of a LCD display.</p> <h3>This fridge gas valve is suitable for the following fridges:</h3> <ul> <li>Thetford N80</li> <li>Thetford N90 Deluxe Line</li> <li>Thetford N97&nbsp;Deluxe Line</li> <li>Thetford N98&nbsp;Deluxe Line</li> <li>Thetford N100&nbsp;Deluxe Line</li> <li>Thetford N104&nbsp;Deluxe Line</li> <li>Thetford N108&nbsp;Deluxe Line</li> <li>Thetford N109 Deluxe Line</li> <li>Thetford N110 Deluxe Line</li> <li>Thetford N112 Deluxe Line</li> <li>Thetford N115 Deluxe Line</li> </ul> <p><strong>Must be fitted by qualified technical trained operatives only</strong></p> <p>Part no.&nbsp;62568807</p>",139.95,0.00,0.00,0.00,0.0000,N,,0.1000,0.0000,0.0000,0.0000,Y,Y,"Fast delivery options available!","by product",11,0,"Spares;Spares/Thetford Spares;Spares/Thetford Spares/Thetford Fridge Spares",22957,w/692/62568807__99363.jpg,"Thetford Spare - Fridge Gas Valve V2 - Campervan & Motorhome Spare (62568807)",Y,0,22958,l/336/62568807_1__51849.jpg,,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62568807,"Thetford Spare - SR Fridge Gas Valve V2 Manual - 62568807","thetford,spare,valve,gas,manual,v2,fridge,part","Replacement fridge SR gas valve for Thetford fridges. Genuine Thetford spare. Perfect for motorhomes, campervans & caravans. Fast UK delivery!",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/caravan-motorhome/spares/thetford/spare-fridge-gas-valve-v2-campervan-motorhome-spare/,,,62568807,,
Product,2956,"Thetford Spare - Fridge Freezer Compartment Door & Hinge - 690852",P,690852,,Thetford,,Right,"<h1>Thetford Spare - Fridge Freezer Compartment Door &amp; Hinge</h1> <h2>Genuine Thetford spare for select fridge models</h2> <p>This Thetford spare part is suitable for refrigerators as found in campervans, caravans, motorhomes and boats. This part is found on a wide range of Thetford fridges, including fridges in the N100 series, N3000 series and N4000 series.</p> <p>Please note - Thetford spares must be fitted by a qualified engineer for the warranty to remain valid.</p> <p>part no.&nbsp;690852</p>",54.95,0.00,0.00,0.00,0.0000,N,"Thetford spare parts and accessories carry a one-year warranty. Any fitting and/or labour costs are not covered by warranty. Spare parts must be fitted by a qualified engineer, otherwise the warranty will be void.
",0.1000,0.0000,0.0000,0.0000,Y,N,"Fast delivery options available!","by product",0,0,"Spares;Spares/Thetford Spares;Spares/Thetford Spares/Thetford Fridge Spares",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690852,"Thetford Spare - Fridge Freezer Compartment Door & Hinge","thetford,spare,part,freezer,door,hinge","Replacement fridge freezer compartment door and hinge for Thetford fridges. Perfect for motorhomes, campervans & caravans. Fast UK delivery!",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/caravan-motorhome/spares/thetford/spare-fridge-freezer-compartment-door-hinge/,,,690852,,
Product,2957,"Thetford Spare - Single Straight Gas Tap for Cookers - Type S 0.34",P,SSPA0432,,Thetford,,Right,"<h1>Thetford Spare - Single Straight Gas Tap for Cookers - Type S 0.34</h1> <h2>Replacement gas tap for select Thetford cookers</h2> <p>This straight hob control tap is a genuine Thetford replacement part for several cookers in campervans, caravans, motorhomes and boats. It comes complete with a saddle bracket and mounting screws.</p> <h3>This Thetford gas tap is compatible with:</h3> <ul> <li>Thetford Argent hob</li> <li>Thetford Aspire cooker</li> <li>Thetford Triplex cooker</li> <li>Thetford Caprice cooker</li> <li>Thetford Cocina cooker</li> </ul> <p>Please note - Thetford spares must be fitted by a qualified engineer for the warranty to remain valid.</p> <p>part no.&nbsp;SSPA0432</p>",64.95,0.00,0.00,0.00,0.0000,N,"Thetford spare parts and accessories carry a one-year warranty. Any fitting and/or labour costs are not covered by warranty. Spare parts must be fitted by a qualified engineer, otherwise the warranty will be void.",0.1000,0.0000,0.0000,0.0000,Y,Y,"Fast delivery options available!",none,0,0,"Spares;Spares/Thetford Spares;Spares/Thetford Spares/Thetford Cooker, Hob, Oven & Grill Spares;Spares/Thetford Spares/Thetford Cooker, Hob, Oven & Grill Spares/Thetford Caprice Cooker Spares;Spares/Thetford Spares/Thetford Cooker, Hob, Oven & Grill Spares/Thetford Aspire Cooker Spares;Spares/Thetford Spares/Thetford Cooker, Hob, Oven & Grill Spares/Thetford Triplex Cooker Spares;Spares/Thetford Spares/Thetford Cooker, Hob, Oven & Grill Spares/Thetford Cocina Cooker Spares;Spares/Thetford Spares/Thetford Cooker, Hob, Oven & Grill Spares/Thetford Argent Hob Spares",12979,u/852/sspa0432__47237.jpg,"Thetford spare gas tap sspa0432",Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSPA0432,"Thetford Spare - Single Straight Gas Tap for Cookers - Type S 0.34","thetford,spare,gas,tap,hob,cooker,part","Replacement hob control gas tap for the Thetford Argent hob, Aspire, Triplex, Caprice and Cocina cooker. Genuine spare for campervans & caravans.",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/caravan-motorhome/spares/thetford/spare-single-straight-gas-tap-for-cookers-type-s-0-34/,,,SSPA0432,,
Product,2958,"Thetford Spare - Ignition Switch Button with Fixing Nuts - SSPA0384",P,SSPA0384,,Thetford,,Right,"<h1>Thetford Spare - Ignition Switch Button with Fixing Nuts - SSPA0384</h1> <h2>Microswitch with threaded pole and button cap</h2> <p>This genuine Thetford spare is an ignition switch for lighting Thetford gas cookers.</p> <p>Please note - Thetford spares must be fitted by a qualified engineer for the warranty to remain valid.</p> <p>Part no.&nbsp;SSPA0384</p>",44.95,0.00,0.00,0.00,0.0000,N,"Thetford spare parts and accessories carry a one-year warranty. Any fitting and/or labour costs are not covered by warranty. Spare parts must be fitted by a qualified engineer, otherwise the warranty will be void.",0.1000,0.0000,0.0000,0.0000,Y,Y,"Fast delivery options available!",none,0,0,"Spares;Spares/Thetford Spares;Spares/Thetford Spares/Thetford Cooker, Hob, Oven & Grill Spares",13147,o/495/DSC03671__89107.jpg,"Thetford spare ignition switch replacement",Y,0,13145,v/150/DSC03670__05819.jpg,"Thetford spare part for cooker hobs SSPA0384",N,1,13140,j/033/DSC03674__11481.jpg,"Thetford ignition click button cap spare",N,2,13146,p/889/DSC03672__10954.jpg,"Thetford spare lighter kit with fixings",N,3,13144,f/033/DSC03668__96966.jpg,"Thetford genuine spare gas lighter kit",N,4,13143,b/145/DSC03669__61404.jpg,"Thetford replacement ignition for cookers in campervans and caravans",N,5,13142,l/682/DSC03666__01106.jpg,"Thetford spare part SSPA0384",N,6,13141,y/902/DSC03667__03997.jpg,"Thetford spare part SSPA0384 rear view",N,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"thetford, ignition, switch, spare, part, SSPA0384, replacement, ignition switch, micro ignition, ","Thetford Spare - Ignition Switch Button with Nuts - SSPA0384","thetford, ignition, switch, spare, part, SSPA0384, replacement, ignition switch, micro ignition, ","Replacement ignition button and switch with threaded pole for Thetford gas cookers. Genuine spare part. Fast UK delivery!",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/caravan-motorhome/spares/thetford/spare-ignition-switch-button-with-fixing-nuts-sspa0384/,,,SSPA0384,,
Product,2959,"Thetford Spare - Hob Thermocouple for Aspire, Argent & Cocina - SSPA0675",P,SSPA0675,,Thetford,,Right,"<h1>Thetford Spare - Hob Thermocouple for Aspire, Argent &amp; Cocina - SSPA0675</h1> <h2>Replacement thermocouple for Thetford cookers</h2> <p>Genuine Thetford replacement part for cookers in campervans, caravans, motorhomes and boats.</p> <p>Please note - Thetford spares must be fitted by a qualified engineer for the warranty to remain valid.</p> <p>part no.&nbsp;SSPA0675</p>",23.95,0.00,0.00,0.00,0.0000,N,"Thetford spare parts and accessories carry a one-year warranty. Any fitting and/or labour costs are not covered by warranty. Spare parts must be fitted by a qualified engineer, otherwise the warranty will be void.",0.1000,0.0000,0.0000,0.0000,Y,Y,"Fast delivery options available!",none,0,0,"Spares/Thetford Spares;Spares/Thetford Spares/Thetford Cooker, Hob, Oven & Grill Spares;Spares/Thetford Spares/Thetford Cooker, Hob, Oven & Grill Spares/Thetford Aspire Cooker Spares;Spares/Thetford Spares/Thetford Cooker, Hob, Oven & Grill Spares/Thetford Cocina Cooker Spares;Spares/Thetford Spares/Thetford Cooker, Hob, Oven & Grill Spares/Thetford Argent Hob Spares",13245,p/483/DSC03724__79250.jpg,"Thetford hob thermocouple spare part SSPA0675",N,0,13244,u/862/DSC03720__83250.jpg,"Replacement thermocouple for Thetford cookers ",N,1,13246,p/092/DSC03721__66265.jpg,"Thetford spare thermocouple for Aspire, Argent & Cocina cookers",N,2,13243,e/832/DSC03719__12016.jpg,"Thetford genuine spare thermocouple lead",Y,3,13247,q/135/DSC03723__51516.jpg,"Thetford thermocouple part for campervan and caravan cooker hobs",N,4,13248,o/726/DSC03722__11146.jpg,"Spare thermocouple for Thetford stovetop",N,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSPA0675,"Thetford Spare - Cooker Hob Thermocouple  - SSPA0675","thetford,cooker,hob,spare,part,thermocouple,SSPA0675","Replacement thermocouple for Argent, Aspire and Cocina cookers. Genuine Thetford spare for campervan, caravan, motorhome and boat. Fast delivery!",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/caravan-motorhome/spares/thetford-spares/thetford-spare-hob-thermocouple-for-aspire-argent-cocina-sspa0675/,,,SSPA0675,,
Product,2960,"Thetford Spare - Hob Thermocouple for Aspire, Argent & Cocina - SSPA0676",P,SSPA0676,,Thetford,,Right,"<h1>Thetford Spare - Hob Thermocouple for Aspire, Argent &amp; Cocina - SSPA0676</h1> <h2>Genuine Thetford spare thermocouple for cookers</h2> <p>This Thetford spare part is a thermocouple temperature sensor for Thetford cookers in campervans, caravans and motorhomes. Please note - this part is similar to the thermocouple SSPA0675. One some cookers, SSPA0675 is installed on the right with SSPA0676 on the left - and on others it is reversed. Please check with us if you are unsure which you need - or you can visit&nbsp;https://www.thetfordservicenet.com/ for info relating to your cooker.</p> <h3>This Thetford thermocouple is compatible with:</h3> <ul> <li>Thetford Argent hob 4 burner</li> <li>Thetford Argent hob 3 burner with hotplate</li> <li>Thetford Aspire 1</li> <li>Thetford Cocina</li> </ul> <p>Please note - Thetford spares must be fitted by a qualified engineer for the warranty to remain valid.</p> <p>part no. SSPA0676</p>",22.95,0.00,0.00,0.00,0.0000,N,"Thetford spare parts and accessories carry a one-year warranty. Any fitting and/or labour costs are not covered by warranty. Spare parts must be fitted by a qualified engineer, otherwise the warranty will be void.",0.1000,0.0000,0.0000,0.0000,Y,Y,"Fast delivery options available!",none,0,0,"Spares;Spares/Thetford Spares;Spares/Thetford Spares/Thetford Cooker, Hob, Oven & Grill Spares;Spares/Thetford Spares/Thetford Cooker, Hob, Oven & Grill Spares/Thetford Aspire Cooker Spares;Spares/Thetford Spares/Thetford Cooker, Hob, Oven & Grill Spares/Thetford Cocina Cooker Spares;Spares/Thetford Spares/Thetford Cooker, Hob, Oven & Grill Spares/Thetford Argent Hob Spares",13235,u/559/DSC03711__53908.jpg,"Thetford hob thermocouple for Aspire, Argent & Cocina hobs",Y,0,13236,z/528/DSC03710__13019.jpg,"Thermocouple spare part for Thetford cookers",N,1,13234,y/112/DSC03712__43620.jpg,"Replacement stovetop thermocouple for Thetford cookers",N,2,13233,z/145/DSC03709__15389.jpg,"Spare thermocouple for Thetford cookers",N,3,13232,y/779/DSC03708__15643.jpg,"Thetford spare thermocouple SSPA0676",N,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSPA0676,"Thetford Spare - Hob Thermocouple for Aspire, Argent & Cocina","thetford,hob,thermocouple,spare,part,SSPA0676","Genuine Thetford spare thermocouple for several Thetford cooker models. Ideal for campervan, caravan and marine ovens. Fast UK delivery!",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/caravan-motorhome/spares/thetford/spare-hob-thermocouple-for-aspire-argent-cocina-sspa0676/,,,SSPA0676,,
Product,2961,"Thetford Spare - Coaxial Hob Thermocouple - SSPA0681",P,SSPA0681,,Thetford,,Right,"<h1>Thetford Spare - Coaxial Hob Thermocouple - SSPA0681</h1> <h2>Replacement part for select Thetford cookers</h2> <p>This genuine spare Thetford part is ideal for cookers in campervans caravans, boats and motorhomes.</p> <h3>This Thetford thermocouple is compatible with:</h3> <ul> <li>Thetford Aspire 1</li> <li>Thetford rectangular 3 burner hob</li> <li>Thetford triangular 3 burner hob</li> </ul> <p>Please note - Thetford spares must be fitted by a qualified engineer for the warranty to remain valid.</p> <p>part no.&nbsp;SSPA0681</p>",23.95,0.00,0.00,0.00,0.0000,N,"Thetford spare parts and accessories carry a one-year warranty. Any fitting and/or labour costs are not covered by warranty. Spare parts must be fitted by a qualified engineer, otherwise the warranty will be void.",0.1000,0.0000,0.0000,0.0000,Y,Y,"Fast delivery options available!","by product",5,0,"Spares;Spares/Thetford Spares;Spares/Thetford Spares/Thetford Cooker, Hob, Oven & Grill Spares;Spares/Thetford Spares/Thetford Cooker, Hob, Oven & Grill Spares/Thetford Aspire Cooker Spares",13164,b/040/DSC03693__58478.jpg,"Thetford spare coaxial hob thermocouple SSPA0681 ",Y,0,13165,t/852/DSC03692__54941.jpg,"Genuine Thetford spare thermocouple part",N,1,13166,w/687/DSC03691__96196.jpg,"Replacement thermocouple for Thetford gas hob cookers in campervans and caravans",N,2,13163,q/342/DSC03690__74832.jpg,"Thetford replacement thermocouple part",N,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sspa0681,"Thetford Spare - Coaxial Hob Thermocouple - SSPA0681","thetford,spare,thermocouple,sspa0681,part","Replacement thermocouple for Aspire cookers and more. Genuine Thetford spare for campervans, caravans, motorhomes and boats. Fast UK delivery!",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/caravan-motorhome/spares/thetford/spare-coaxial-hob-thermocouple-sspa0681/,,,SSPA0681,,
Product,2962,"Thetford Spare - Coaxial Hob Thermocouple - SSPA0682",P,SSPA0682,,Thetford,,Right,"<h1>Thetford Spare - Coaxial Hob Thermocouple - SSPA0682</h1> <h2>Replacement part for Thetford Argent hob, Aspire and Cocina cookers</h2> <p>This genuine Thetford spare part is a replacement for cookers in campervans, caravans, motorhomes and boats.</p> <h3>This Thetford thermocouple is compatible with:</h3> <ul> <li>Thetford Argent hob 3 burner</li> <li>Thetford Argent hob 3 burner + hotplate</li> <li>Thetford Argent hob 4 burner</li> <li>Thetford Aspire 1</li> <li>Thetford Cocina</li> </ul> <p>Please note - Thetford spares must be fitted by a qualified engineer for the warranty to remain valid.</p> <p>part no.&nbsp;SSPA0682</p>",23.95,0.00,0.00,0.00,0.0000,N,"Thetford spare parts and accessories carry a one-year warranty. Any fitting and/or labour costs are not covered by warranty. Spare parts must be fitted by a qualified engineer, otherwise the warranty will be void.",0.1000,0.0000,0.0000,0.0000,Y,Y,"Fast delivery options available!","by product",20,0,"Spares;Spares/Thetford Spares;Spares/Thetford Spares/Thetford Cooker, Hob, Oven & Grill Spares;Spares/Thetford Spares/Thetford Cooker, Hob, Oven & Grill Spares/Thetford Aspire Cooker Spares;Spares/Thetford Spares/Thetford Cooker, Hob, Oven & Grill Spares/Thetford Cocina Cooker Spares;Spares/Thetford Spares/Thetford Cooker, Hob, Oven & Grill Spares/Thetford Argent Hob Spares",12985,x/589/sspa0682__85696.jpg,"Thetford Spare Coaxial Hob Thermocouple part SSPA0682",Y,0,13129,m/139/DSC03653__49676.jpg,"Thetford thermocouple for hob cookers in campervans and caravans",N,1,13128,r/196/DSC03650__31640.jpg,"Thetford genuine spare coaxial thermocouple",N,2,13126,q/229/DSC03651__93068.jpg,"Thetford thermocouple for argent hobs, aspire and cocina cookers",N,3,13127,w/075/DSC03652__30773.jpg,"Thetford replacement thermocouple SSPA0682 for cookers in campervans and caravans",N,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSPA0682,"Thetford Spare - Coaxial Hob Thermocouple - SSPA0682","thetford,spare,SSPA0682,thermocouple,part","Replacement thermocouple for Aspire cookers, Cocina and more. Genuine Thetford spare for campervans, caravans, motorhomes and boats.",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/caravan-motorhome/spares/thetford/spare-coaxial-hob-thermocouple-sspa0682/,,,SSPA0682,,
Product,2963,"Thetford Spare - Coaxial Hob Thermocouple - SSPA0684",P,SSPA0684,,Thetford,,Right,"<h1>Thetford Spare - Coaxial Hob Thermocouple - SSPA0684</h1> <h2>Replacement thermocouple for Aspire 1 hob</h2> <p>Genuine Thetford replacement part for Aspire hobs in campervan, caravan, motorhome and boat cookers. This thermocouple is of the&nbsp;S2. 2.8x0.5mm type.</p> <h3>This Thetford thermocouple is compatible with:</h3> <ul> <li>Thetford Aspire 1 cooker with lid shut off - made after October 2011 - rear RH hob</li> </ul> <p>part no. SSPA0684</p>",26.95,0.00,0.00,0.00,0.0000,N,,0.1000,0.0000,0.0000,0.0000,Y,Y,"Fast delivery options available!","by product",18,0,"Spares;Spares/Thetford Spares;Spares/Thetford Spares/Thetford Cooker, Hob, Oven & Grill Spares;Spares/Thetford Spares/Thetford Cooker, Hob, Oven & Grill Spares/Thetford Aspire Cooker Spares",13132,a/882/DSC03657__57647.jpg,"Thetford spare coaxial thermocouple SSPA0684",Y,0,13130,k/554/DSC03659__95446.jpg,"Thetford spare thermocouple for aspire cookers in campervans and caravans",N,1,13131,o/776/DSC03658__49877.jpg,"Genuine spare Thetford thermocouple SSPA0684",N,2,13133,i/005/DSC03656__42012.jpg,"Thetford spare thermocouple SSPA0684",N,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSPA0684,"Thetford Spare - Coaxial Hob Thermocouple - SSPA0684","SSPA0684,thetford,part,spare,thermocouple,aspire","Replacement thermocouple for Aspire 1 cooker. Genuine Thetford spare for campervans, caravans, motorhomes and boats. FAST UK delivery!",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/caravan-motorhome/spares/thetford/spare-coaxial-hob-thermocouple-sspa0684/,,,SSPA0684,,
