"Item Type","Product ID","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image ID - 1","Product Image File - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Sort - 1","Product Image ID - 2","Product Image File - 2","Product Image Description - 2","Product Image Is Thumbnail - 2","Product Image Sort - 2","Product Image ID - 3","Product Image File - 3","Product Image Description - 3","Product Image Is Thumbnail - 3","Product Image Sort - 3","Product Image ID - 4","Product Image File - 4","Product Image Description - 4","Product Image Is Thumbnail - 4","Product Image Sort - 4","Product Image ID - 5","Product Image File - 5","Product Image Description - 5","Product Image Is Thumbnail - 5","Product Image Sort - 5","Product Image ID - 6","Product Image File - 6","Product Image Description - 6","Product Image Is Thumbnail - 6","Product Image Sort - 6","Product Image ID - 7","Product Image File - 7","Product Image Description - 7","Product Image Is Thumbnail - 7","Product Image Sort - 7","Product Image ID - 8","Product Image File - 8","Product Image Description - 8","Product Image Is Thumbnail - 8","Product Image Sort - 8","Product Image ID - 9","Product Image File - 9","Product Image Description - 9","Product Image Is Thumbnail - 9","Product Image Sort - 9","Product Image ID - 10","Product Image File - 10","Product Image Description - 10","Product Image Is Thumbnail - 10","Product Image Sort - 10","Product Image ID - 11","Product Image File - 11","Product Image Description - 11","Product Image Is Thumbnail - 11","Product Image Sort - 11","Product Image ID - 12","Product Image File - 12","Product Image Description - 12","Product Image Is Thumbnail - 12","Product Image Sort - 12","Product Image ID - 13","Product Image File - 13","Product Image Description - 13","Product Image Is Thumbnail - 13","Product Image Sort - 13","Search Keywords","Page Title","Meta Keywords","Meta Description","MYOB Asset Acct","MYOB Income Acct","MYOB Expense Acct","Product Condition","Show Product Condition?","Event Date Required?","Event Date Name","Event Date Is Limited?","Event Date Start Date","Event Date End Date","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","Global Trade Item Number","Manufacturer Part Number","Tax Provider Tax Code","Product Custom Fields"
Product,2371,"The Dometic FanTastic Roof Vent 2250",P,9108879482,,Dometic,,Right,"<h1 style=""text-align: justify;"">The Dometic FanTastic Vent 2250</h1> <h2 style=""text-align: justify;"">The Dometic FanTastic Roof Vent 2250 is a smart cookie!</h2> <h3 style=""text-align: justify;"">Set speeds manually or automatically</h3> <p style=""text-align: justify;"">You'll end up exactly where you want to be with your airflow. Just simply flip the reverse switch &amp; the fan changes direction, drawing air in or out of your caravan or motor home. There&rsquo;s a rain sensor that automatically closes the dome when it's wet keeping the inside of your leisure vehicle dry! The dome automatically opens once the rain stops.&nbsp; Alternatively, you can control the dome by switch. The <strong>Dometic Fantastic Vent</strong> has a built-in thermostat keeping your interior at the perfect temperature.</p> <h3 style=""text-align: justify;"">Features:</h3> <ul style=""text-align: justify;""> <li>3-speed fan (low, medium, high)</li> <li>Fits standard sizes</li> <li>Built-in thermostat</li> <li>Manual lift dome</li> <li>High profile base</li> <li>Reversible air flow</li> <li>Installation Manual, Installation Materials</li> </ul> <h3 style=""text-align: justify;"">Fresh Air</h3> <p style=""text-align: justify;"">The <em>Dometic FanTastic Vent 2250</em> has three speeds (low, medium, high), a reverse switch that changes the fan blade direction from OUT to IN, a manual dome lifting knob &amp; a built-in thermostat.&nbsp; It&rsquo;s perfect for use at bedtime or if you leave pets alone.</p> <h3 style=""text-align: justify;"">Roof vent with white dome</h3> <ul style=""text-align: justify;""> <li>350 x 350 mm</li> <li>Input voltage 12 V (DC)</li> </ul> <h3 style=""text-align: justify;"">Dimensions</h3> <ul style=""text-align: justify;""> <li>depth 419.10 mm</li> <li>height 241 mm</li> <li>width 419.10 mm</li> </ul>",284.95,0.00,0.00,0.00,0.0000,N,,0.0100,0.0000,0.0000,0.0000,Y,N,"The Dometic FanTastic Roof Vent 2250 is on a next working day service","by product",0,10,"Caravan, Campervan & Motorhome/Windows & Rooflights;Caravan, Campervan & Motorhome;Caravan, Campervan & Motorhome/Windows & Rooflights/Rooflights;Caravan, Campervan & Motorhome/Windows & Rooflights/Rooflights/Fan Assisted Rooflight",9956,z/035/fanatastic-vent-3__68812.JPG,"The Dometic FanTastic Roof Vent 2250",Y,0,9959,o/097/fanatastic-vent-6__88186.JPG,"Dometic FanTastic Roof Vent 2250 with white dome",N,1,9962,a/180/fanatastic-vent-1__00552.JPG,,N,2,9973,r/647/dometic-roofvent-5__31530.jpg,"High profile base",N,3,9972,k/995/dometic-roofvent-4__03066.jpg,"Manual lift dome",N,4,9974,d/033/dometic-roofvent-2__90215.jpg,"Fits standard 14 in. x 14 in.",N,5,9975,y/759/dometic-roofvent-1__34913.jpg,"3-speed fan (low, medium, high),
",N,6,9976,h/694/dometic-roofvent-3__87110.jpg,"Reversible air flow",N,7,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Dometic FanTastic Roof Vent 2250 caravan motor home","9108879482, dometic, fantastic, roof, vent, 2250, caravan, motor home, campervan, rooflight,","The Dometic FanTastic Roof Vent 2250 is SENT NEXT WORKING DAY",,,,New,N,N,,N,,,0,"Default Tax Class",0834834207300,N,/dometic/fantastic/roof/vent/2250/,,,9108879482,,
Product,2372,"REIMO Aluminium Furniture Corner Profile - Open on Both Sides",P,522141,,Reimo,,Right,"<h1>REIMO Aluminium Furniture Corner Profile Open on Both Sides</h1> <p>90 degree corner profile for finishing 15mm furniture board, open on both sides</p> <h2>Features</h2> <ul> <li>Length 2.2 Meters</li> <li>Aluminium construction</li> <li>Suitable for 15mm Furniture boards</li> </ul> <p style=""text-align: center;""><span style=""font-size: large; color: #ff0000;""><strong>SPECIAL/SECOND AVAILABLE</strong></span></p> <p style=""text-align: center;""><span style=""font-size: medium; color: #ff0000;""><strong>(JC-SP-2698) -- Issue: Slight damage to one end.&nbsp; Price: &pound;55.95 (Collection in person only)</strong></span></p> <p style=""text-align: center;""><span style=""font-size: medium; color: #000000;""><strong><span style=""font-size: small;""><strong>For more information and photos, Please contact our Customer Service team on 0151 334 0222</strong></span></strong></span></p>",65.95,0.00,0.00,0.00,0.0000,N,,0.1100,0.0000,0.0000,0.0000,Y,Y,"Sent on a next working day carrier",none,3,0,"Caravan, Campervan & Motorhome;Caravan, Campervan & Motorhome/Conversion Equipment/Campervan Specific;Caravan, Campervan & Motorhome/Conversion Equipment/Furniture Accessories ",9964,z/032/openonboth-1__80691.jpg,"Reimo Open on Both Sides",Y,0,9963,v/851/openonboth-2__93073.jpg,,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REIMO, profile, 15mm, furniture, corner, reimo","REIMO Aluminium Furniture Corner Profile Open on Both Sides","REIMO, Aluminium, Furniture, Corner, Profile, Open,Both, Sides","The Reimo furniture profile is open on both sides and fits 15mm board",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/reimo/aluminium/furniture/corner/profile/open/both/sides/,,,522141,,
Product,2373,"Reimo Palm Beach 2 Caravan & Motorhome Awning Side Panel ",P,900153,,Reimo,,Right,"<h1>Reimo Palm Beach 2 Side Panel - 225 x 180 cm</h1> <h3>Suitable for caravans and motorhomes with easy fastenings</h3> <p style=""text-align: justify;"">The Palm Beach 2 Side Panels provide you with privacy and can be mounted on the right or the left of your awning. With a mesh insert window this allows air and light to enter your space without taking away your privacy.</p> <h2 style=""text-align: justify;"">Features:</h2> <ul> <li>Suitable for BUS sliding doors</li> <li>Velcro tape fastenings</li> <li>Fits caravan and motorhomes</li> <li>Sold as single panels</li> </ul>",99.95,0.00,0.00,0.00,0.0000,N,,0.1000,0.0000,0.0000,0.0000,Y,Y,"Sent on a next working day carrier",none,15,0,"Awnings ;Awnings /Caravan;Awnings /Accessories;Awnings /Campervan;Awnings /Campervan/Sun Canopies;Awnings /Caravan/Sun Canopies;Awnings /Accessories/Extensions and Canopies",9965,h/878/reimopalmbeachside__48629.jpg,,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reimo Palm Beach 2 Caravan Motorhome Awning Side Panel","Reimo, Palm, Beach, Caravan, Motorhome, Awning, Side, Panel,","The Reimo Palm Beach 2 panels can be fitted on either side of the awning",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/reimo/palm/beach/2/side/panels/,,,900153,,"""Weight (kg)=2.2"";""Dimensions(W x H cm)=225 x 180cm"";""Colour=Light Grey and Dark Grey"""
Product,2374,"Reimo Palm Beach Campervan Sun Canopy  - 3 Metre",P,900152-OLD,,Reimo,,Right,"<h1>DUPLICATE PAGE - REMOVED - RD</h1> <h1>&nbsp;</h1> <h1>&nbsp;</h1> <h1>Reimo Palm Beach Campervan Sun Canopy</h1> <h3>Transform your vehicle with ease</h3> <p style=""text-align: justify;"">The Palm Beach sun canopy from Reimo is elegant, robust and simply attaches to your awning with ease transforming you campervan and adding to your existing living space.</p> <h2 style=""text-align: justify;"">Reimo Palm Beach Sun Canopy Features:</h2> <ul> <li>Quick &amp; easy to attach</li> <li>Compatible with T4/T5/T6</li> <li>2000mm water column</li> </ul>",139.95,0.00,0.00,0.00,0.0000,N,,0.1100,0.0000,0.0000,0.0000,Y,N,"Sent on a next working day carrier",none,0,0,"Caravan, Campervan & Motorhome;Awnings ;Awnings /Caravan;Awnings /Campervan;Awnings /Campervan/Sun Canopies;Awnings /Caravan/Sun Canopies;Awnings /Motorhome;Awnings /Motorhome/Sun Canopies",9969,l/912/palmbeach__48608.jpg,"Reimo Palm Beach Canopy",Y,0,12727,f/440/900151__74937.jpg,"Reimo Palm Beach awning canopy",N,1,12726,o/116/900152__48521.jpg,"Reimo awning for VW T5 T6 campervan",N,2,12725,b/941/900152_1__51546.jpg,"Reimo Palm Beach pitched on VW T5 T6 motorhome",N,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,,,0,"Default Tax Class",,N,/reimo/palm/beach/campervan/sun/canopy/,,,,,"""Pack Size (CM)=74 x 16 x 16"";""Weight (KG)=6.8"";""Dimensions (CM)=300 X 240"""
Product,2378,"Copy of Thetford K1520 Lightweight Motor Home Cooker With Dual Fuel Option",P,"Copy of K1520",,Thetford,"Thetford K1520 Cooker",Right,"<h1>Thetford K1520 Motor Home Cooker</h1> <h2 style=""text-align: justify;"">Introducing the new K1520 RV Cooker from Thetford!</h2> <h3 style=""text-align: justify;"">Fan assisted oven</h3> <p style=""text-align: justify;"">The K1520 is the first Motor Home gas fan assisted oven in Europe.&nbsp; Ensuring air recirculation for efficient and equal temperature spread aiding faster cooking. The oven heat up time is also an improvement taking the temperature from 20&deg;C to 200˚C in approximately 6 mins.</p> <h3 style=""text-align: justify;"">The choice is yours, gas or dual fuel</h3> <p style=""text-align: justify;"">The Thetford K1520 comes either as all gas with 4 rings, or as a dual fuel with 3 gas rings and a 1000 watt electric hotplate. The hotplate has a diameter of 145 mm.</p> <h3 style=""text-align: justify;"">Larger grilling area</h3> <p style=""text-align: justify;"">The new K1520 cooker has an increased grilling area, no need to keep turning food so cooking time is reduced, for your convenience!</p> <h3 style=""text-align: justify;"">Lightweight</h3> <p style=""text-align: justify;"">The Thetford K1520 is lightweight being approximately 10% lighter than similar cookers in the motorhome marketplace.</p> <h3 style=""text-align: justify;"">Specifications:</h3> <ul style=""text-align: justify;""> <li>Grill pan kit</li> <li>2 Oven shelves</li> <li>Fuel gas or dual fuel version (gas and electric)</li> <li>Gas burners 1 x 1kW &amp; 3 x 1.6kW (dual fuel version has 1 x 1kW, 2 x 1.6kW &amp; 1 x Electric hotplate 1kw)</li> <li>Grill burner1.8 kW</li> <li>Grill capacity 19 L</li> <li>Ignition 12V dc</li> <li>Knobs Brushed nickel</li> </ul> <h3 style=""text-align: justify;"">&nbsp;Watch the video</h3> <p style=""text-align: justify;""><iframe src=""https://www.youtube.com/embed/qtYwYqV62ag"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""""></iframe></p> <ul> <li style=""text-align: justify;"">Please ensure you have correctly measured the oven before purchasing and re-stock fees can apply if an oven has been opened</li> <li style=""text-align: justify;""><span style=""color: #ff0000;""> Caravan and motorhome owners please note all gas appliances must be fitted by a qualified gas engineer, failure to comply will affect your warranty.</span></li> </ul>",699.00,0.00,0.00,0.00,0.0000,N,"3 year warranty",50.0000,0.0000,0.0000,0.0000,Y,N,"The Thetford K1520 Motorhome cooker is due in stock soon",none,0,0,"Caravan, Campervan & Motorhome/Kitchen Equipment;Caravan, Campervan & Motorhome/Kitchen Equipment/Ovens, Grills & Cookers;Caravan, Campervan & Motorhome",9990,t/484/Thetford-K1520-cooker__68499.jpg,"Thetford K1520 Lightweight Motorhome Cooker",Y,0,9991,h/460/Frame-02363__61494.jpg,"Thetford K1520 with fan assisted oven and 37 litre capacity",N,1,9992,s/423/Frame-03022__52865.jpg,"Closing the lid shuts off burners and hotplate",N,2,9993,m/701/Frame-03542__60577.jpg,"Thetford K1520 knobs",N,3,9994,a/551/Frame-03562__19915.jpg,"Thetford K1520 with hot plate option",N,4,9995,i/686/Frame-02151__49797.jpg,"Thetford K1520 with larger grill area",N,5,9996,u/360/Frame-00723__60443.jpg,"Example of Thetford K1520 in place",N,6,9997,j/802/Frame-01973__92262.jpg,,N,7,9998,t/283/Frame-01808-1__87072.jpg,"Thetford K1520 cooker gas only option",N,8,9999,o/918/Frame-01808-2__82281.jpg,"Thetford K1520 dual option cooker showing hotplate and 3 burners",N,9,,,,,,,,,,,,,,,,,"Thetford K1520 Motor Home Cooker With Dual Fuel Option","thetford, k1520, caravan, oven, grill, motorhome, cooker, dual fuel,","The Thetford K1520 Motorhome Cooker With Dual Fuel Option Sent Next Working Day",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/caravan-motorhome/kitchen-equipment/ovens-cookers/copy-of-thetford-k1520-lightweight-motor-home-cooker-with-dual-fuel-option/,,,K1520,,"""Built In Dimensions (HxWxD)=646 x 496 x 493 mm"";""Overall Dimensions (HxWxD)=645 x 515 x 501 mm"";""Weight=25,0 kg"""
Product,2381,"SR Smith SlideAway Portable Residential Swimming Pool Slide",P,,,"S R Smith","SR Smith Slide Away Colour",Right,"<h1 class=""MsoNormal"" style=""text-align: justify;"">SR Smith SlideAway Residential Swimming Pool Slide</h1> <h2 style=""text-align: justify;"">Introducing SlideAway, the new removable swimming pool slide from S.R.Smith.</h2> <h3 style=""text-align: justify;"">Combining safety, fun and durability</h3> <p style=""text-align: justify;"">This new portable <em>residential swimming pool slide</em> is the first fully CPSC compliant pool slide that doesn&rsquo;t have to be permanently attached to the pool deck.&nbsp; SlideAway comes in 2 colours (Taupe and Grey) that will compliment any outdoor living area.&nbsp; <strong>SlideAway from SR Smith</strong> can handle kids up to 57kg (9 stone) providing hours of splashing fun!</p> <h3 style=""text-align: justify;"">Features</h3> <ul style=""text-align: justify;""> <li>Comes partially assembled and includes an easy to use wheeled system to move the SlideAway on and off the pool deck</li> <li>3&rsquo; x 6&rsquo;7&rdquo; deck space required</li> <li>Easy to set-up and store away in shed or garage</li> <li>Enclosed, textured steps and integrated hand-holds for added safety</li> <li>Fully rotomolded construction provides strength and durability for years of use</li> <li>This pool slide is designed for children up to 125 lbs (57 kg)</li> <li>Salt pool friendly</li> <li>For use on in-ground pools only</li> <li>Designed to resist fading,</li> <li>Made in the USA</li> <li><strong><span style=""color: #ff0000;"">Coming soon!</span></strong></li> </ul>",1725.00,0.00,0.00,0.00,0.0000,N,,150.0000,0.0000,0.0000,0.0000,N,Y,,"by product",0,6,"Swimming Pool/Poolside Equipment/Slides",10196,g/788/srs_slideaway_taupe_side2a__04708.jpg,"SR Smith SlideAway Residential Swimming Pool Slide",Y,0,10197,a/777/srs_slideaway_with_model1__27645.jpg,"SlideAway Removable Swimming Pool Slide",N,1,10198,y/846/srs_slideaway_with_model4__36997.jpg,"SR Smith SlideAway Pool Slide",N,2,10199,p/454/srs_slideaway_with_model3__16093.jpg,,N,3,10202,o/835/srs_slideaway_beauty_shot1__51936.jpg,,N,4,10200,u/509/srs_slideaway_gray_side_back__07621.jpg,"SR Smith SlideAway also in grey",N,5,10201,i/789/diagram__36882.JPG,"SR Smith SlideAway Swimming Pool Slide Dimensions",N,6,10203,d/419/kids__78079.JPG,"SR Smith SlideAway Portable Swimming Pool Slide",N,7,,,,,,,,,,,,,,,,,,,,,,,,,,,"SR Smith SlideAway Residential Removable Swimming Pool Slide","sr smith, slideaway, swimming pool, slide, movable,  removable, portable,","The SR Smith SlideAway Removable Swimming Pool Slide, can be moved around the pool or put away easily",,,,New,N,N,,N,,,6,"Default Tax Class",,N,/sr/smith/residential/slideaway/swimming/pool/slide/,,,,,
"  SKU",5131,"[CS]Select Colour=Taupe:#c2ab90",,660-209-5810,,,,,,,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",5132,"[CS]Select Colour=Gray:#898f99",,660-209-5820,,,,,,,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Rule",7266,,,660-209-5810,,,,,,,,,,,,,,,,,Y,Y,,,,,,,7266_source_1581955468.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
"  Rule",7268,,,660-209-5820,,,,,,,,,,,,,,,,,Y,Y,,,,,,,7268_source_1581955497.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
