"Item Type","Product ID","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image ID - 1","Product Image File - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Sort - 1","Product Image ID - 2","Product Image File - 2","Product Image Description - 2","Product Image Is Thumbnail - 2","Product Image Sort - 2","Product Image ID - 3","Product Image File - 3","Product Image Description - 3","Product Image Is Thumbnail - 3","Product Image Sort - 3","Product Image ID - 4","Product Image File - 4","Product Image Description - 4","Product Image Is Thumbnail - 4","Product Image Sort - 4","Product Image ID - 5","Product Image File - 5","Product Image Description - 5","Product Image Is Thumbnail - 5","Product Image Sort - 5","Product Image ID - 6","Product Image File - 6","Product Image Description - 6","Product Image Is Thumbnail - 6","Product Image Sort - 6","Product Image ID - 7","Product Image File - 7","Product Image Description - 7","Product Image Is Thumbnail - 7","Product Image Sort - 7","Product Image ID - 8","Product Image File - 8","Product Image Description - 8","Product Image Is Thumbnail - 8","Product Image Sort - 8","Product Image ID - 9","Product Image File - 9","Product Image Description - 9","Product Image Is Thumbnail - 9","Product Image Sort - 9","Product Image ID - 10","Product Image File - 10","Product Image Description - 10","Product Image Is Thumbnail - 10","Product Image Sort - 10","Product Image ID - 11","Product Image File - 11","Product Image Description - 11","Product Image Is Thumbnail - 11","Product Image Sort - 11","Product Image ID - 12","Product Image File - 12","Product Image Description - 12","Product Image Is Thumbnail - 12","Product Image Sort - 12","Product Image ID - 13","Product Image File - 13","Product Image Description - 13","Product Image Is Thumbnail - 13","Product Image Sort - 13","Product Image ID - 14","Product Image File - 14","Product Image Description - 14","Product Image Is Thumbnail - 14","Product Image Sort - 14","Product Image ID - 15","Product Image File - 15","Product Image Description - 15","Product Image Is Thumbnail - 15","Product Image Sort - 15","Product Image ID - 16","Product Image File - 16","Product Image Description - 16","Product Image Is Thumbnail - 16","Product Image Sort - 16","Product Image ID - 17","Product Image File - 17","Product Image Description - 17","Product Image Is Thumbnail - 17","Product Image Sort - 17","Product Image ID - 18","Product Image File - 18","Product Image Description - 18","Product Image Is Thumbnail - 18","Product Image Sort - 18","Product Image ID - 19","Product Image File - 19","Product Image Description - 19","Product Image Is Thumbnail - 19","Product Image Sort - 19","Product Image ID - 20","Product Image File - 20","Product Image Description - 20","Product Image Is Thumbnail - 20","Product Image Sort - 20","Product Image ID - 21","Product Image File - 21","Product Image Description - 21","Product Image Is Thumbnail - 21","Product Image Sort - 21","Product Image ID - 22","Product Image File - 22","Product Image Description - 22","Product Image Is Thumbnail - 22","Product Image Sort - 22","Product Image ID - 23","Product Image File - 23","Product Image Description - 23","Product Image Is Thumbnail - 23","Product Image Sort - 23","Product Image ID - 24","Product Image File - 24","Product Image Description - 24","Product Image Is Thumbnail - 24","Product Image Sort - 24","Product Image ID - 25","Product Image File - 25","Product Image Description - 25","Product Image Is Thumbnail - 25","Product Image Sort - 25","Product Image ID - 26","Product Image File - 26","Product Image Description - 26","Product Image Is Thumbnail - 26","Product Image Sort - 26","Product Image ID - 27","Product Image File - 27","Product Image Description - 27","Product Image Is Thumbnail - 27","Product Image Sort - 27","Search Keywords","Page Title","Meta Keywords","Meta Description","MYOB Asset Acct","MYOB Income Acct","MYOB Expense Acct","Product Condition","Show Product Condition?","Event Date Required?","Event Date Name","Event Date Is Limited?","Event Date Start Date","Event Date End Date","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","Global Trade Item Number","Manufacturer Part Number","Tax Provider Tax Code","Product Custom Fields"
Product,1805,"Reimo 5 Piece Camping and Campervan Pots and Pans",P,92302,,Reimo,,Right,"<h2>Small Camping 5 Piece Aluminium Pan Set</h2> <p>Compact set of pans which are ideal for 2 people who are pushed for space making them ideal for use in camper van conversions, small motorhomes and camping.</p> <p><span>Aluminium pots with anti-stick coating and insulated handles.</span></p> <h3><span>Pan set consists of:</span></h3> <p><span>1 x 18cm pot with lid</span></p> <p><span>1 x 18cm pan with handles</span></p> <p><span>1 x 16cm Casserole with Lid</span></p>",24.95,0.00,0.00,0.00,0.0000,N,,0.1000,0.0000,0.0000,0.0000,N,Y,"This item is unavailable",none,0,0,"Camping;Camping/Cooking;Camping/Cooking/Pots and Pans",17623,x/846/92302__58668.jpg,"Reimo Camping and caravan pots and pans set",Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pans, pots, camping pots,","Reimo 5 Piece Camping and Campervan Pots and Pans","camping pans, small pans, compact pots an pans, pans, pots,","Small set of aluminium pots and pans none stick ideal for camping and campervan",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/camping/reimo-5-piece-camping-and-campervan-pots-and-pans/,,,JC7016,,
Product,1806,"REIMO Motorhome & Campervan Universal U-Swivel Table Leg Kit ",P,57120,,Reimo,,Right,"<h2>REIMO Campervan Universal U-Swivel Table Leg Kit</h2> <p>Reimo universal U-swivel table leg is ideal for tight spaces making it ideal for campervans and small motorhomes. Made from galvanised steel tube and includes fixing parts. Can be shortened in height if needs be. Suitable for fixed mounting or sliding benches.</p> <h3><span>Swivel Table Product Dimensions:</span></h3> <ul> <li>Swivel range: 70cm (approx)</li> <li>Height: 72cm (approx)</li> <li>Horizontal extension from vertical wall bracket to vertical table leg: 32cm (approx)</li> </ul>",95.95,0.00,0.00,0.00,0.0000,N,,0.1000,0.0000,0.0000,0.0000,Y,Y,"#Temporarily unavailable!","by product",0,0,"Caravan, Campervan & Motorhome;Caravan, Campervan & Motorhome/Conversion Equipment/Campervan Specific;Caravan, Campervan & Motorhome/Conversion Equipment/Furniture Accessories ",6740,o/375/stand__54600.jpg,,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"table leg, table, leg, universal,","REIMO Universal U-Swivel Table Leg Kit for Motorhome & Campervan","reimo, universal table leg, table leg,  swivel table leg, swivel, ","Reimo Swivel table leg ideal for campervans caravans motorhomes",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/caravan-motorhome/reimo-motorhome-campervan-universal-u-swivel-table-leg-kit/,,,57120,,
Product,1807,"Certikin Aquaspeed 2 Speed Swimming Pool Pump",P,AQP2151N,,Certikin,,Right,"<h2>Certikin Aquaspeed 2 Speed Swimming Pool Pump (AQP2151N)</h2> <p>The Certikin Aquaspeed AQP2151N is a 1.5HP (1.1kW) single phase 2 speed pump for swimming pool or spa use.</p> <p>For ease of use the Aquaspeed AQP2151N has a clear lid for inspection of the pump basket and is supplied with 2"" quick connect unions for simple installation.</p> <p>Suitable for salt water swimming pools the Certikin Aquaspeed range of pumps are constructed from a single piece fibreglass body for durability and corrosion resistance. Featuring a hydraulically efficient impellor and diffuser design for maximum output with minimum turbulence.</p> <p>&nbsp;</p> <h3>&nbsp;Aquaspeed Pool Pump Features:-</h3> <ul> <li>Suitable for salt chlorinated swimming pool</li> <li>Corrosion resistant and UV stabilised fibreglass pump body</li> <li>Easy inspection of pump basket with clear lid</li> <li>TUV approved</li> <li>316 high grade mechanical seal with secondary seal to protect the pump motor</li> <li>Efficient impeller and diffuser design to maximize output with minimum turbulence</li> </ul> <p>&nbsp;</p>",549.95,0.00,0.00,0.00,0.0000,N,,0.1000,0.0000,0.0000,0.0000,N,N,"#This pump has been discontinued",none,0,0,"Swimming Pool;Swimming Pool/Pumps and Filters;Swimming Pool/Pumps and Filters/Pool Pumps",6747,n/692/aquaspeed_2speed-B__98476.jpg,"Certikin Aquaspeed 2 speed Swimming Pool Pump",Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Certikin, Aquaspeed, AQP2151N, swimming, pool, pump, two speed","Certikin Aquaspeed 2 Speed Swimming Pool Pump","Certikin, Aquaspeed, AQP2151N, swimming, pool, pump, 2, speed","The Certikin Aquaspeed AQP2151N 2 speed swimming pool pump provides a low cost solution to reduce power consumption of your pool installation",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/swimming-pools/certikin-aquaspeed-2-speed-swimming-pool-pump/,,,,,
Product,1808,"Truma Aventa Comfort Air Conditioning Unit with Air distribution Unit",P,44091-51CM/51GM,,Truma,"Truma Aventa Diffuser",Right,"<h1>Truma Aventa Comfort Air Conditioning Unit</h1> <h2>Truma's Premiere Air Conditioning Unit for your Motorhome, Campervan, or Caravan</h2> <p>Comes supplied with both a cooling and heating function with three fan speeds on the cooling function, and two when in heating mode.</p> <p>The Aventa Comfort also has a sleep function for silent overnight cooling of your caravan, campervan or motorhome.</p> <h2>Complete Kit</h2> <p>Includes air conditioning unit, air distribution unit in grey colour and a sealing frame.</p> <p>This Air conditioning unit is suitable for motorhomes, caravans, and camper vans up to 7.5m</p> <p><span style=""color: #ff0000;""><strong>This product must be installed by an approved installer, failure to do so may affect the warranty on the product.</strong></span></p> <h3>Features:</h3> <ul> <li>Colour: Grey</li> <li>Cooling power: 2400w</li> <li>Current consumption when cooling: 4.2a per hour</li> <li>Heat Output (Heat pump): 3.7 Amps per hour</li> <li>Power supply: 230-240v AC (50Hz)</li> <li>Weight of unit: 33Kg</li> </ul> <p>&nbsp;</p> <p style=""text-align: center;""><a href=""https://www.jacksonsleisure.com/content/pdf/truma/AventaComfort/truma-air-condition-aventa-comfort-installation-operating-de-en-fr-it-nl-dk-se.pdf"" target=""_blank""><img class=""__mce_add_custom__"" title=""Truma Aventa Comfort"" src=""https://cdn2.bigcommerce.com/server1100/fkhd5nhp/product_images/uploaded_images/pdf-install-guide.jpg"" alt=""Truma Aventa Comfort"" width=""222"" height=""80"" /></a>&nbsp; <a href=""https://www.jacksonsleisure.com/content/pdf/truma/AventaComfort/truma-air-conditioning-systems-brochure-en.pdf"" target=""_blank""><img class=""__mce_add_custom__"" title=""Truma Aventa Comfort"" src=""https://cdn2.bigcommerce.com/server1100/fkhd5nhp/product_images/uploaded_images/pdf-brochure.jpg"" alt=""Truma Aventa Comfort"" width=""222"" height=""80"" /></a></p>",1595.00,1050.00,0.00,0.00,0.0000,N,,50.0000,0.0000,0.0000,0.0000,Y,Y,"In stock & sent on a next working day delivery","by option",55,0,"Caravan, Campervan & Motorhome/Heaters and Air Conditioners/Air Conditioners;Caravan, Campervan & Motorhome",23734,a/219/aventa-comfort-main-white-black__26391.jpg,"Truma Aventa Comfort Air Conditioning Unit with Air distribution Unit ",Y,0,6751,s/741/Aventa_Comfort__22809.PNG,"Truma Caravan and motor home air con unit",N,1,6753,k/495/Tech_aventa_crop__61851.PNG,"Truma Aventa air conditioning specifications",N,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"air conditioner, air, conditioner, Truma, Aventa air conditioning","Truma Aventa Comfort Air Conditioning Unit with Air distribution Unit ","Truma, air conditioner, con, conditioning, Aventa, 2200","Truma Aventa air conditioner is the largest of the Truma range which is suitable for motorhomes up to a maximum of 7.5 metres",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/caravan-motorhome/truma-aventa-comfort-air-conditioning-unit-with-air-distribution-unit/,,,44091-51CM/51GM,,"""Start-up current=28A (150ms)"";""Heating power=1700W"";""Volumetric air flow=max. 400 m³/h"";""Deployment range=+4 °C to +40 °C"";""Maximum incline during operation=8%"";""Outer dimensions (L x W x H)=1008 x 660 x 248 mm"";""Inner dimensions (L x W x H)=670 x 523 x 46 mm"";""Roof cut-out (L x W)=380 x 350 mm / 400 x 400 mm"""
"  SKU",5038,"[CS]Outer Unit Colour=White:#e6e6e6,[CS]Diffuser Colour=Grey:#999999,[S]Select Model=Truma Aventa",,44091-51-GM,,,,,,1595.00,0.00,,,,N,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",5039,"[CS]Outer Unit Colour=White:#e6e6e6,[CS]Diffuser Colour=Cream:#f0dbb4,[S]Select Model=Truma Aventa",,44091-51-CM,,,,,,1595.00,0.00,,,,N,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",9727,"[CS]Outer Unit Colour=Black:#000000,[CS]Diffuser Colour=Grey:#999999,[S]Select Model=Truma Aventa",,44091-51-GM-B,,,,,,,0.00,,,,N,,,,,,,,,,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",9728,"[CS]Outer Unit Colour=Black:#000000,[CS]Diffuser Colour=Cream:#f0dbb4,[S]Select Model=Truma Aventa",,44091-51-CM-B,,,,,,,0.00,,,,N,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Rule",7134,,,44091-51-GM,,,,,,[FIXED]1595,,,,,,,,,,,Y,Y,,,,,,,7134_source_1742395418.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
"  Rule",7135,,,44091-51-CM,,,,,,[FIXED]1595,,,,,,,,,,,Y,Y,,,,,,,7135_source_1742395430.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
