"Item Type","Product ID","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image ID - 1","Product Image File - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Sort - 1","Product Image ID - 2","Product Image File - 2","Product Image Description - 2","Product Image Is Thumbnail - 2","Product Image Sort - 2","Product Image ID - 3","Product Image File - 3","Product Image Description - 3","Product Image Is Thumbnail - 3","Product Image Sort - 3","Product Image ID - 4","Product Image File - 4","Product Image Description - 4","Product Image Is Thumbnail - 4","Product Image Sort - 4","Product Image ID - 5","Product Image File - 5","Product Image Description - 5","Product Image Is Thumbnail - 5","Product Image Sort - 5","Product Image ID - 6","Product Image File - 6","Product Image Description - 6","Product Image Is Thumbnail - 6","Product Image Sort - 6","Product Image ID - 7","Product Image File - 7","Product Image Description - 7","Product Image Is Thumbnail - 7","Product Image Sort - 7","Product Image ID - 8","Product Image File - 8","Product Image Description - 8","Product Image Is Thumbnail - 8","Product Image Sort - 8","Product Image ID - 9","Product Image File - 9","Product Image Description - 9","Product Image Is Thumbnail - 9","Product Image Sort - 9","Product Image ID - 10","Product Image File - 10","Product Image Description - 10","Product Image Is Thumbnail - 10","Product Image Sort - 10","Product Image ID - 11","Product Image File - 11","Product Image Description - 11","Product Image Is Thumbnail - 11","Product Image Sort - 11","Product Image ID - 12","Product Image File - 12","Product Image Description - 12","Product Image Is Thumbnail - 12","Product Image Sort - 12","Search Keywords","Page Title","Meta Keywords","Meta Description","MYOB Asset Acct","MYOB Income Acct","MYOB Expense Acct","Product Condition","Show Product Condition?","Event Date Required?","Event Date Name","Event Date Is Limited?","Event Date Start Date","Event Date End Date","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","Global Trade Item Number","Manufacturer Part Number","Tax Provider Tax Code","Product Custom Fields"
Product,4315,"Mestic Cool Box Compressor MCCP-75 AC/DC Dual Zone",P,A0026080,,Mestic,,Right,"<h1>Mestic MCCP-75 Dual Zone Cool Box Compressor (AC/DC)</h1> <p>The Mestic MCCP-75 Dual Zone Cool Box Compressor (AC/DC) lets you cool and freeze at the same time, thanks to its two independently adjustable compartments. With a temperature range from -18&deg;C to +20&deg;C, each zone can be set to your desired level using the easy-to-use digital display.</p> <h2>Dual Temperature Zones for Flexibility</h2> <p>Part of Mestic's Performance line, the MCCP-75 Dual Zone Cool Box Compressor (AC/DC) is built to last, with a powerful compressor and robust insulation for reliable cooling wherever you go. The optional eco setting helps minimize energy consumption, making it a perfect choice for camping or extended trips. The Mestic MCCP-75 Dual Zone Cool Box Compressor (AC/DC) has two equally sized compartments that offer a total capacity of 75L, making it ideal for families and large gatherings. Each zone can be independently adjusted between -18&deg;C and +20&deg;C, giving you full control over your cooling and freezing needs.</p> <h2>Key Features</h2> <ul> <li>Dual zones for separate cooling and freezing</li> <li>Temperature range from -18&deg;C to +20&deg;C</li> <li>Digital display with two USB ports</li> <li>Compatible with 12V - 24V and 100V - 240V power sources</li> <li>Two-way lid for easy access</li> <li>75L capacity, great for families and large items</li> </ul> <h2>Perfect for the Road and Your Destination</h2> <p>User-friendliness is key at Mestic, and the MCCP-75 Dual Zone Cool Box Compressor (AC/DC) makes life easier with two 12V - 24V connections&mdash;one on each side. The lid opens from either side and can be fully removed, so you can quickly grab your chilled items. With both 12V - 24V and 100V - 240V power options, you can use the Mestic MCCP-75 Dual Zone Cool Box Compressor (AC/DC) virtually anywhere without needing an additional 230V adapter. Other handy features include two removable wire baskets and interior lighting for added convenience.</p> <h2>Why Choose the Mestic MCCP-75 Dual Zone Cool Box Compressor (AC/DC)?</h2> <p>Looking for a reliable, high-performance cooler with two separate temperature zones? The Mestic MCCP-75 Dual Zone Cool Box Compressor (AC/DC) is the ideal choice. With a 75L capacity, dual-zone cooling and freezing, and a wide temperature range of -18&deg;C to +20&deg;C, it&rsquo;s perfect for family trips or outdoor adventures. Plus, it comes with all the necessary power cables for easy setup and use wherever you go.</p> <h2>Specifications</h2> <ul> <li>Article number: 1512650</li> <li>Connection voltage: 12V - 24V &amp; 100V - 240V</li> <li>Number of USB-c ports: 2</li> <li>Dimensions (lxwxh): 92.8cm x 47cm x 46.1cm</li> <li>Display: Digital display</li> <li>EAN-code: 8712757479924</li> <li>Eco mode: Yes</li> <li>Noise level: 45dB</li> <li>Weight: 27kg</li> <li>Content: 75L</li> <li>Adjustable temperature range: -18&deg;C to +20&deg;C</li> <li>Material: Steel</li> <li>Cool box type: Compressor</li> </ul>",689.00,0.00,0.00,0.00,0.0000,N,,27.0000,47.0000,46.1000,92.8000,Y,Y,"Sent on a next working day carrier!!",none,0,0,"Fridges & Coolboxes/Cool Boxes",24550,h/577/1__62748.jpg,"Mestic Cool Box Compressor MCCP-75 AC/DC Dual Zone Cooler Freezer Refrigerator for Outdoor 12V",Y,0,24551,o/468/2__59043.jpg,"Mestic Cool Box Compressor MCCP-75 AC/DC Dual Zone Cooler Freezer Refrigerator for Travel 12V",N,1,24552,l/206/3__87697.jpg,"Mestic Cool Box Compressor MCCP-75 AC/DC Dual Zone Cooler Freezer Refrigerator 12V",N,2,24553,g/922/4__41828.jpg,"Mestic Cool Box Compressor MCCP-75 AC/DC Dual Zone Cooler Freezer for Outdoor Travel 12V",N,3,24554,y/565/5__23668.jpg,"Mestic Cool Box Compressor MCCP-75 AC/DC Dual Zone Cooler Refrigerator for Outdoor Travel 12V",N,4,24555,j/988/6__05391.jpg,"Mestic Cool Box Compressor MCCP-75 AC/DC Dual Zone Freezer Refrigerator for Outdoor Travel 12V",N,5,24556,d/772/7__96318.jpg,"Mestic Cool Box Compressor MCCP-75 AC/DC Cooler Freezer Refrigerator for Outdoor Travel 12V",N,6,24557,b/185/8__49550.jpg,"Mestic Cool Box Compressor MCCP-75 Dual Zone Cooler Freezer Refridgerator for Outdoor Travel 12V",N,7,24558,q/243/9__38147.jpg,"Mestic Cool Box Compressor AC/DC Dual Zone Cooler Freezer Refrigerator for Outdoor Travel 12V",N,8,24559,q/676/10__36515.jpg,"Mestic Cool Box Compressor MCCP-75 AC/DC Dual Zone Cooler Freezer Refrigerator for Outdoor Travel",N,9,,,,,,,,,,,"Mestic, cool, box, cool box, compressor, MCCP-75, AC/DC, AC, DC, dual, zone, dual zone, cooler, freezer, refrigerator, outdoor, travel, 12v","Mestic Cool Box Compressor MCCP-75 AC/DC Dual Zone","Mestic, cool, box, cool box, compressor, MCCP-75, AC/DC, AC, DC, dual, zone, dual zone, cooler, freezer, refrigerator, outdoor, travel, 12v","Mestic Cool Box Compressor MCCP-75 AC/DC Dual Zone Cooler Freezer Refrigerator for Outdoor Travel 12V",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/fridges-coolboxes/mestic-cool-box-compressor-mccp-75-ac-dc-dual-zone/,,,,,
Product,4317,"Westfield Pluto EXTRA LARGE 2.0 Caravan Air Full Awning",P,,,"Westfield Outdoors","Westfield Pluto",Right,"<h1>Westfield Pluto 2.0 XL Caravan Air Full Awning</h1> <h2>Extra Large Inflatable Full Awing</h2> <p>The Westfield Pluto 2.0 XL Full Caravan Awning has a large depth compared to the standard Pluto 2.0, this is a luxury inflatable awning designed to withstand the elements. Available in a range of sizes including XS, S, M, L, XL. Created from high-quality, durable Hydrotech fabric material with HydraDore XT PRO high end double coating for the highest waterproof rating and protection from the sun. With a waterproof rating of 10,000mm, you can ensure you'll stay dry sheltered by this awning even in the harshest rain. The Westfield Pluto XL Awning&nbsp;runs across the whole length of your caravan. This ensures that all windows, doors and service flaps are easy to open by ensuring a perfect seal on the sides of your caravan to prevent wind and rain from getting in.</p> <p>Featuring an Advanced Air System that uses a single point of inflation to allow you to set up your awning with ease. Additionally, the Pluto Air XL Awning can be deflated from this valve to allow you to take it down easily. This awning is annex ready, meaning you can fit at least one annex for additional storage space, or combine this with the annex inner tent to give yourself extra living and sleeping space. To install the annex simply pitch your awning as normal and use the built in zip to attach the annex onto the side of your awning, pump it up and peg! Simple.</p> <p>Part of the Westfield Premium Series, this awning features three-layer air tubes and a unique AAS System, with which the air awning is inflated at a single point, allowing a quick and easy setup. Utilising Hydrotech CottonTouch fabric with its anti-condensation performance, amazing weather resistance and UV stability, no other awning could compete. With user-friendly features, premium materials and advanced technology there is no other awning like this on the market.</p> <h3>Pluto 2.0 Awning Key Features:</h3> <ul> <li>Larger depth than the standard Pluto awning</li> <li>Draught skirt and wheel cover with ventilation panel</li> <li>Hydrotech cotton touch fabric</li> <li>Breathable fabric to avoid condensation with built-in ventilation in front and side panels</li> <li>Advanced Air System and Super-Tubes with single inflation for easy setup</li> <li>Added protection against harsh weather</li> <li>Double mudwall for protection inside and out</li> <li>Reflective storm straps with strap tidy pockets</li> <li>Full front canopy for protection against the rain</li> <li>Unique windows for maximum light and beautiful views</li> <li>Compatible with annex for extended living space</li> <li>Carry bag included for storage and travel</li> </ul> <div style=""overflow-x: auto; width: 100%; margin: 0 auto;""> <table class=""table table-striped"" style=""width: 68%; height: 10%; padding: 0px; border-spacing: 0px;"" align=""center""> <tbody> <tr> <td style=""background-color: #d9d9d9; text-align: center;"" align=""center"" valign=""middle"" width=""400""><strong>Pluto 2.0 Awning</strong></td> <td style=""background-color: #d9d9d9; text-align: center;"" align=""center"" valign=""middle"" width=""400""><strong>Extra Small</strong></td> <td style=""background-color: #d9d9d9; text-align: center;"" align=""center"" valign=""middle"" width=""400""><strong>Small</strong></td> <td style=""background-color: #d9d9d9; text-align: center;"" align=""center"" valign=""middle"" width=""400""><strong>Medium</strong></td> <td style=""background-color: #d9d9d9; text-align: center;"" align=""center"" valign=""middle"" width=""400""><strong>Large</strong></td> <td style=""background-color: #d9d9d9; text-align: center;"" align=""center"" valign=""middle"" width=""400""><strong>Extra Large</strong></td> </tr> <tr> <td style=""text-align: center;"" valign=""middle"" width=""400"">Awning Rail Height</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">235 - 250 cm</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">235 - 250 cm</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">235 - 250 cm</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">235 - 250 cm</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">235 - 250 cm</td> </tr> <tr> <td style=""text-align: center;"" valign=""middle"" width=""400"">Depth</td> <td style=""text-align: center;"" valign=""middle"" width=""400""><span>300 cm</span></td> <td style=""text-align: center;"" valign=""middle"" width=""400"">300 cm</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">300 cm</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">300 cm</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">300 cm</td> </tr> <tr> <td style=""text-align: center;"" valign=""middle"" width=""400"">A Measurement</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">916cm - 945 cm</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">946cm - 980 cm</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">981cm - 1015 cm</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">1016cm - 1050 cm</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">1051cm - 1085 cm</td> </tr> <tr> <td style=""text-align: center;"" valign=""middle"" width=""400"">Pack Size (Bag 1)</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">115cm x 33cm x 33 cm</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">115cm x 33cm x 33 cm</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">115cm x 33cm x 33 cm</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">115cm x 33cm x 33 cm</td> <td style=""text-align: center;"" valign=""middle"" width=""400""> <p>115cm x 33cm x 33 cm</p> </td> </tr> <tr> <td style=""text-align: center;"" valign=""middle"" width=""400"">Pack Size (Bag 2)</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">115cm x 34cm x 24 cm</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">115cm x 34cm x 24 cm</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">115cm x 34cm x 24 cm</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">115cm x 34cm x 24 cm</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">115cm x 34cm x 24 cm</td> </tr> <tr> <td style=""text-align: center;"" valign=""middle"" width=""400"">Pack Weight (Bag 1)</td> <td style=""text-align: center;"" valign=""middle"" width=""400""><span>21 - 24.4kg</span></td> <td style=""text-align: center;"" valign=""middle"" width=""400"">21 - 24.4kg</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">21 - 24.4kg</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">21 - 24.4kg</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">21 - 24.4kg</td> </tr> <tr> <td style=""text-align: center;"" valign=""middle"" width=""400"">Pack Weight (Bag 2)</td> <td style=""text-align: center;"" valign=""middle"" width=""400""><span>22 - 24.4kg</span></td> <td style=""text-align: center;"" valign=""middle"" width=""400"">22 - 24.4kg</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">22 - 24.4kg</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">22 - 24.4kg</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">22 - 24.4kg</td> </tr> <tr> <td style=""text-align: center;"" valign=""middle"" width=""400"">SKU</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">12020377003002</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">12020378003002</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">12023709030002</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">12023710030002</td> <td style=""text-align: center;"" valign=""middle"" width=""400"">12023711030002</td> </tr> </tbody> </table> </div>",1915.00,0.00,0.00,0.00,0.0000,N,"2 Year Warranty on Westfield Awnings",33.0000,0.0000,0.0000,0.0000,Y,Y,"#Delivery 2 - 3 working days",none,0,0,"Awnings ;Awnings /Caravan;Awnings /Caravan/Inflatable Awnings",24560,b/813/PLUTO2_3_fullsize__90793.jpg,"Westfield Caravan Awning XL Inflatable Air Camping Awning",Y,0,24561,p/642/PLUTO2_fullsize__23638.jpg,"XL Inflatable Caravan Air Awning",N,1,24562,l/293/PLUTO2_14_fullsize__24484.jpg,"Extra Large Touring Caravan Drive Away Awning Westfield Pluto",N,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Westfield Pluto 2 XL, Extra Large Awning, Full Awning, Caravan Awning, Air Awning, Inflatable Awning, Touring Awning, Caravan Air Awning, Westfield Awning, Caravan Awning Canopy, 12020370700002, 12020370800002, 12020370900002, 12020371000002, 12020371100002, 12020371200002, 12023707030002, 12023708030002, 12023709030002, 12023710030002, 12023711030002","Westfield Pluto XL Inflatable Full Caravan Awning","Westfield Pluto 2 XL, Extra Large Awning, Full Awning, Caravan Awning, Air Awning, Inflatable Awning, Touring Awning, Caravan Air Awning, Westfield Awning, Caravan Awning Canopy, 12020370700002, 12020370800002, 12020370900002, 12020371000002, 12020371100002, 12020371200002, 12023707030002, 12023708030002, 12023709030002, 12023710030002, 12023711030002","Westfield Pluto 2 Inflatable Air Awning for Caravan. Featuring Blow Up Awning Canopy. Full Awning easy set up. Available in six different sizes UK.",,,,New,N,N,,N,,,0,"Default Tax Class",4260750745385,N,/awnings/westfield-pluto-extra-large-2-0-caravan-air-full-awning/,,,12020377003002,,"""Material=Hydrotech Cotton Touch"";""Windows=Super-clear foil"";""Waterproof Rating=10,000mm HH"";fbt-product=https://www.jacksonsleisure.com/awnings/westfield-eris-premium-air-annex/"
"  SKU",10055,"[S]Select Size=Extra Small | 915cm - 945cm",,12020377003002,,,,,,1915.00,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",10056,"[S]Select Size=Small | 946cm - 980cm",,12020378003002,,,,,,2019.00,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",10057,"[S]Select Size=Medium | 981cm - 1015cm",,12023709030002,,,,,,2079.00,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",10058,"[S]Select Size=Large | 1016cm - 1050cm",,12023710030002,,,,,,2199.00,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",10059,"[S]Select Size=Extra Large | 1051cm - 1085cm",,12023711030002,,,,,,2259.00,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Rule",16067,,,12020377003002,,,,,,[FIXED]1915,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
"  Rule",16068,,,12020378003002,,,,,,[FIXED]2019,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
"  Rule",16069,,,12023709030002,,,,,,[FIXED]2079,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
